Final_name,FeatureID,Annotation_Confidence,Final_formula,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway
(+/-)12(13)-DiHOME,1.272_296.23523_HILIC,L2,C18H34O4,NA,NA,NA,NA
(+/-)14(15)-DiHET,1.169_338.2461_HILIC,L2,C20H34O4,NA,NA,NA,NA
(+/-)9-HpODE,1.163_312.23021_HILIC,L2,C18H32O4,NA,NA,NA,NA
(+/-)9-HpODE,1.287_294.21962_HILIC,L2,C18H32O4,NA,NA,NA,NA
(±)9-HpODE,1.427_312.23024_HILIC,L2,C18H32O4,NA,NA,NA,NA
"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",1.67_330.24111_HILIC,L2,C18H34O5,NA,NA,NA,NA
"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",1.242_330.2409_HILIC,L2,C18H34O5,NA,NA,NA,NA
"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",1.395_330.24087_HILIC,L2,C18H34O5,NA,NA,NA,NA
(2E)-4-Hydroxy-4-{4-hydroxy-2-[(1E)-6-hydroxy-1-hepten-1-yl]cyclopentyl}-2-butenoic acid,1.312_298.17812_HILIC,L2,C16H26O5,NA,NA,NA,NA
"(2R)-2,3-Dihydroxypropanoic acid",9.573_106.02661_HILIC,L2,C3H6O4,NA,NA,NA,NA
"(5E,8E)-undeca-5,8,10-trienoic acid",1.46_180.115_HILIC,L3,C11H16O2,NA,NA,NA,NA
(E)-5-ethyl-4-oxohept-2-enoate,1.67_170.09435_HILIC,L3,C9H14O3,NA,NA,NA,NA
(R)-(+)-3-Methyladipic acid,1.693_160.07349_HILIC,L1,C7H12O4,NA,NA,NA,NA
"[(1R,2R,4aR,5R,8R,8aS)-5,8-dihydroxy-2-(2-hydroxypropan-2-yl)-4a,8-dimethyl-1,2,3,4,5,6,7,8a-octahydronaphthalen-1-yl] acetate",1.269_314.20958_HILIC,L3,C17H30O5,NA,NA,NA,NA
"[Similar to: (+/-)9,10-dihydroxy-12Z-octadecenoic acid; ΔMass: -46.0416 Da]",1.17_268.20409_HILIC,L3,C16H28O3,NA,NA,NA,NA
[Similar to: (±)9-HpODE; ΔMass: -0.0539 Da],1.292_312.17617_HILIC,L3,C17H28O3S,NA,NA,NA,NA
[Similar to: 12-Epileukotriene B4; ΔMass: -140.1201 Da],2.031_196.10995_HILIC,L3,C11H16O3,NA,NA,NA,NA
[Similar to: 15-keto Prostaglandin F2?; ΔMass: -62.0367 Da],1.208_290.18831_HILIC,L3,C18H26O3,NA,NA,NA,NA
[Similar to: 15-Keto prostaglandin F2α; ΔMass: -62.0367 Da],1.354_290.18829_HILIC,L3,C18H26O3,NA,NA,NA,NA
[Similar to: 2'-Deoxycytidine ; ΔMass: 0.0001 Da],5.751_227.09067_HILIC,L3,C9H13N3O4,NA,NA,NA,NA
[Similar to: 2'-Deoxycytidine ; ΔMass: 46.0056 Da],5.748_273.09619_HILIC,L3,C12H20NO2PS,NA,NA,NA,NA
"[Similar to: 3-(2,3-dihydro-1,4-benzodioxin-6-ylamino)-2-[3-(trifluoromethyl)benzoyl]acrylonitrile; ΔMass: -56.0256 Da]",12.397_318.06224_HILIC,L3,C9H18O10S,NA,NA,NA,NA
"[Similar to: 5-O-(2-Amino-2-oxoethyl)-1,4:3,6-dianhydro-2-deoxy-2-[(1-naphthylcarbamoyl)amino]-D-glucitol; ΔMass: -143.0735 Da]",2.712_228.07465_HILIC,L3,C9H12N2O5,NA,NA,NA,NA
[Similar to: Allethrin; ΔMass: -134.0732 Da],1.458_168.11499_HILIC,L3,C10H16O2,NA,NA,NA,NA
[Similar to: D-(+)-Maltose; ΔMass: -120.0423 Da],11.789_222.0739_HILIC,L3,C8H14O7,NA,NA,NA,NA
[Similar to: D-(+)-Maltose; ΔMass: -120.0423 Da],12.016_222.0739_HILIC,L3,C8H14O7,NA,NA,NA,NA
[Similar to: NP-004844; ΔMass: -30.0129 Da],1.712_266.11308_HILIC,L3,C10H14N6O3,NA,NA,NA,NA
[Similar to: NP-008095; ΔMass: 15.9586 Da],1.686_268.13111_HILIC,L3,C14H20O5,NA,NA,NA,NA
[Similar to: NP-018436; ΔMass: -106.0419 Da],11.859_180.06336_HILIC,L3,C6H12O6,NA,NA,NA,NA
[Similar to: NP-020916; ΔMass: -180.0633 Da],1.383_226.12055_HILIC,L3,C12H18O4,NA,NA,NA,NA
[Similar to: Prostaglandin F2α; ΔMass: -44.0260 Da],1.243_310.21461_HILIC,L3,C18H30O4,NA,NA,NA,NA
