SampleID,SampleName,Type,Slope,Location
Area: HILIC_Blank3.raw (F1),Blank,Blank,Blank,Blank
Area: HILIC_Blank4.raw (F2),Blank,Blank,Blank,Blank
Area: HILIC_Blank5.raw (F3),Blank,Blank,Blank,Blank
Area: HILIC_Pooled.raw (F4),Pooled,Pooled,Pooled,Pooled
Area: HILIC_Pooled1.raw (F5),Pooled,Pooled,Pooled,Pooled
Area: HILIC_Pooled2.raw (F6),Pooled,Pooled,Pooled,Pooled
Area: HILIC_Pooled3.raw (F7),Pooled,Pooled,Pooled,Pooled
Area: HILIC_Pooled4.raw (F8),Pooled,Pooled,Pooled,Pooled
Area: HILIC_Pooled5.raw (F9),Pooled,Pooled,Pooled,Pooled
Area: HILIC_S1.raw (F10),Area: HILIC_S1_1WB.raw,Bare,West,L_1
Area: HILIC_S2.raw (F11),Area: HILIC_S2_1WC.raw,Biocrust,West,L_1
Area: HILIC_S3.raw (F12),Area: HILIC_S3_1WM.raw,Moss,West,L_1
Area: HILIC_S4.raw (F13),Area: HILIC_S4_2WB.raw,Bare,West,L_2
Area: HILIC_S5.raw (F14),Area: HILIC_S5_2WC.raw,Biocrust,West,L_2
Area: HILIC_S6.raw (F15),Area: HILIC_S6_2WM.raw,Moss,West,L_2
Area: HILIC_S7.raw (F16),Area: HILIC_S7_3WB.raw,Bare,West,L_3
Area: HILIC_S8.raw (F17),Area: HILIC_S8_3WC.raw,Biocrust,West,L_3
Area: HILIC_S9.raw (F18),Area: HILIC_S9_3WM.raw,Moss,West,L_3
Area: HILIC_S10.raw (F19),Area: HILIC_S10_4WB.raw,Bare,West,L_4
Area: HILIC_S11.raw (F20),Area: HILIC_S11_4WC.raw,Biocrust,West,L_4
Area: HILIC_S12.raw (F21),Area: HILIC_S12_4WM.raw,Moss,West,L_4
Area: HILIC_S13.raw (F22),Area: HILIC_S13_5WB.raw,Bare,West,L_5
Area: HILIC_S14.raw (F23),Area: HILIC_S14_5WC.raw,Biocrust,West,L_5
Area: HILIC_S15.raw (F24),Area: HILIC_S15_5WM.raw,Moss,West,L_5
Area: HILIC_S16.raw (F25),Area: HILIC_S16_6WB.raw,Bare,West,L_6
Area: HILIC_S17.raw (F26),Area: HILIC_S17_6WC.raw,Biocrust,West,L_6
Area: HILIC_S18.raw (F27),Area: HILIC_S18_6WM.raw,Moss,West,L_6
Area: HILIC_S19.raw (F28),Area: HILIC_S19_1CB.raw,Bare,Center,L_1
Area: HILIC_S20.raw (F29),Area: HILIC_S20_1CC.raw,Biocrust,Center,L_1
Area: HILIC_S21.raw (F30),Area: HILIC_S21_1CM.raw,Moss,Center,L_1
Area: HILIC_S22.raw (F31),Area: HILIC_S22_2CB.raw,Bare,Center,L_2
Area: HILIC_S23.raw (F32),Area: HILIC_S23_2CC.raw,Biocrust,Center,L_2
Area: HILIC_S24.raw (F33),Area: HILIC_S24_2CM.raw,Moss,Center,L_2
Area: HILIC_S25.raw (F34),Area: HILIC_S25_3CB.raw,Bare,Center,L_3
Area: HILIC_S26.raw (F35),Area: HILIC_S26_3CC.raw,Biocrust,Center,L_3
Area: HILIC_S27.raw (F36),Area: HILIC_S27_3CM.raw,Moss,Center,L_3
Area: HILIC_S28.raw (F37),Area: HILIC_S28_4CB.raw,Bare,Center,L_4
Area: HILIC_S29.raw (F38),Area: HILIC_S29_4CC.raw,Biocrust,Center,L_4
Area: HILIC_S30.raw (F39),Area: HILIC_S30_4CM.raw,Moss,Center,L_4
Area: HILIC_S31.raw (F40),Area: HILIC_S31_5CB.raw,Bare,Center,L_5
Area: HILIC_S32.raw (F41),Area: HILIC_S32_5CC.raw,Biocrust,Center,L_5
Area: HILIC_S33.raw (F42),Area: HILIC_S33_5CM.raw,Moss,Center,L_5
Area: HILIC_S34.raw (F43),Area: HILIC_S34_6CB.raw,Bare,Center,L_6
Area: HILIC_S35.raw (F44),Area: HILIC_S35_6CC.raw,Biocrust,Center,L_6
Area: HILIC_S36.raw (F45),Area: HILIC_S36_6CM.raw,Moss,Center,L_6
Area: HILIC_S37.raw (F46),Area: HILIC_S37_1EB.raw,Bare,East,L_1
Area: HILIC_S38.raw (F47),Area: HILIC_S38_1EC.raw,Biocrust,East,L_1
Area: HILIC_S39.raw (F48),Area: HILIC_S39_1EM.raw,Moss,East,L_1
Area: HILIC_S40.raw (F49),Area: HILIC_S40_2EB.raw,Bare,East,L_2
Area: HILIC_S41.raw (F50),Area: HILIC_S41_2EC.raw,Biocrust,East,L_2
Area: HILIC_S42.raw (F51),Area: HILIC_S42_2EM.raw,Moss,East,L_2
Area: HILIC_S43.raw (F52),Area: HILIC_S43_3EB.raw,Bare,East,L_3
Area: HILIC_S44.raw (F53),Area: HILIC_S44_3EC.raw,Biocrust,East,L_3
Area: HILIC_S45.raw (F54),Area: HILIC_S45_3EM.raw,Moss,East,L_3
Area: HILIC_S46.raw (F55),Area: HILIC_S46_4EB.raw,Bare,East,L_4
Area: HILIC_S47.raw (F56),Area: HILIC_S47_4EC.raw,Biocrust,East,L_4
Area: HILIC_S48.raw (F57),Area: HILIC_S48_4EM.raw,Moss,East,L_4
Area: HILIC_S49.raw (F58),Area: HILIC_S49_5EB.raw,Bare,East,L_5
Area: HILIC_S50.raw (F59),Area: HILIC_S50_5EC.raw,Biocrust,East,L_5
Area: HILIC_S51.raw (F60),Area: HILIC_S51_5EM.raw,Moss,East,L_5
Area: HILIC_S52.raw (F61),Area: HILIC_S52_6EB.raw,Bare,East,L_6
Area: HILIC_S53.raw (F62),Area: HILIC_S53_6EC.raw,Biocrust,East,L_6
Area: HILIC_S54.raw (F63),Area: HILIC_S54_6EM.raw,Moss,East,L_6
Area: HILIC_S55.raw (F64),Not,Not,Not,Not
