FeatureID,Annotation_Confidence,Final_name,Final_formula,InChIKey,Final_Superclass,Final_Class,Final_Subclass,ClassyFire.level.5,NPC.pathway,NPC.superclass,NPC.class
15.654_237.14848_RP,L2,(+/-)-C75,C14H22O4,NA,NA,NA,NA,NA,NA,NA,NA
16.887_237.14843_RP,L2,(+/-)-C75,C14H22O4,NA,NA,NA,NA,NA,NA,NA,NA
20.196_303.23188_RP,L2,(+/-)11(12)-EET,C20H32O3,NA,NA,NA,NA,NA,NA,NA,NA
19.894_303.23184_RP,L2,(+/-)11(12)-EET,C20H32O3,NA,NA,NA,NA,NA,NA,NA,NA
19.036_301.21621_RP,L2,(+/-)8-HEPE,C20H30O3,NA,NA,NA,NA,NA,NA,NA,NA
19.598_321.24218_RP,L2,(±)11(12)-DiHET,C20H34O4,NA,NA,NA,NA,NA,NA,NA,NA
19.624_295.22659_RP,L2,(±)13-HpODE,C18H32O4,NA,NA,NA,NA,NA,NA,NA,NA
18.024_295.2267_RP,L2,(±)13-HpODE,C18H32O4,NA,NA,NA,NA,NA,NA,NA,NA
19.753_301.21612_RP,L2,(±)8-HEPE,C20H30O3,NA,NA,NA,NA,NA,NA,NA,NA
19.391_301.21617_RP,L2,(±)8-HEPE,C20H30O3,NA,NA,NA,NA,NA,NA,NA,NA
15.725_351.21458_RP,L2,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18H32O5,ADHVWICOFLYDST-MKZMYESJSA-N,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA
15.098_351.21458_RP,L2,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18H32O5,ADHVWICOFLYDST-MKZMYESJSA-N,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA
16.782_311.22172_RP,L2,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18H32O5,ADHVWICOFLYDST-MKZMYESJSA-N,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA
15.911_351.21435_RP,L2,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18H32O5,ADHVWICOFLYDST-MKZMYESJSA-N,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA
16.318_351.21429_RP,L2,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18H32O5,ADHVWICOFLYDST-MKZMYESJSA-N,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA
17.449_351.21431_RP,L2,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18H32O5,ADHVWICOFLYDST-MKZMYESJSA-N,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA
14.855_351.21443_RP,L2,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18H32O5,ADHVWICOFLYDST-MKZMYESJSA-N,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA
17.017_311.22169_RP,L2,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18H32O5,ADHVWICOFLYDST-MKZMYESJSA-N,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA
18.367_313.23733_RP,L2,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",C18H34O5,JHGVFGJXFVIYSM-XFXZXTDPSA-N,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA
17.457_353.23012_RP,L2,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",C18H34O5,JHGVFGJXFVIYSM-XFXZXTDPSA-N,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA
