Final_name,FeatureID,Annotation_Confidence,Final_formula,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway
(+/-)-C75,15.654_237.14848_RP,L2,C14H22O4,NA,NA,NA,NA
(+/-)-C75,16.887_237.14843_RP,L2,C14H22O4,NA,NA,NA,NA
(+/-)11(12)-EET,19.894_303.23184_RP,L2,C20H32O3,NA,NA,NA,NA
(+/-)11(12)-EET,20.196_303.23188_RP,L2,C20H32O3,NA,NA,NA,NA
(+/-)8-HEPE,19.036_301.21621_RP,L2,C20H30O3,NA,NA,NA,NA
(±)11(12)-DiHET,19.598_321.24218_RP,L2,C20H34O4,NA,NA,NA,NA
(±)13-HpODE,18.024_295.2267_RP,L2,C18H32O4,NA,NA,NA,NA
(±)13-HpODE,19.624_295.22659_RP,L2,C18H32O4,NA,NA,NA,NA
(±)8-HEPE,19.391_301.21617_RP,L2,C20H30O3,NA,NA,NA,NA
(±)8-HEPE,19.753_301.21612_RP,L2,C20H30O3,NA,NA,NA,NA
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",17.449_351.21431_RP,L2,C18H32O5,NA,NA,NA,NA
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",15.911_351.21435_RP,L2,C18H32O5,NA,NA,NA,NA
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",16.782_311.22172_RP,L2,C18H32O5,NA,NA,NA,NA
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",14.855_351.21443_RP,L2,C18H32O5,NA,NA,NA,NA
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",15.725_351.21458_RP,L2,C18H32O5,NA,NA,NA,NA
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",16.318_351.21429_RP,L2,C18H32O5,NA,NA,NA,NA
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",17.017_311.22169_RP,L2,C18H32O5,NA,NA,NA,NA
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",15.098_351.21458_RP,L2,C18H32O5,NA,NA,NA,NA
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",16.7_353.22991_RP,L2,C18H34O5,NA,NA,NA,NA
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",18.095_353.22996_RP,L2,C18H34O5,NA,NA,NA,NA
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",18.367_313.23733_RP,L2,C18H34O5,NA,NA,NA,NA
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",17.457_353.23012_RP,L2,C18H34O5,NA,NA,NA,NA
"(1R,3S,4S,5R,7R)-4-(3-hydroxybutyl)-5-methyl-10-methylidene-8-oxatricyclo[5.3.0.0Âl,âµ]decan-9-one",14.822_251.16414_RP,L2,C15H22O3,NA,NA,NA,NA
"(1R,3S,4S,5R,7R)-4-(3-hydroxybutyl)-5-methyl-10-methylidene-8-oxatricyclo[5.3.0.0Âl,âµ]decan-9-one",14.538_251.16414_RP,L2,C15H22O3,NA,NA,NA,NA
"(1R,9S)-11-(4-Methoxybenzoyl)-5-[4-(trifluoromethoxy)phenyl]-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one",7.869_485.16296_RP,L3,C26H23F3N2O4,NA,NA,NA,NA
"(1S,4aS,7aS)-7-({[(2E)-3-phenylprop-2-enoyl]oxy}methyl)-1-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,4aH,5H,7aH-cyclopenta[c]pyran-4-carboxylic acid",1.621_543.13217_RP,L3,C25H28O11,NA,NA,NA,NA
