SampleID,Sample_code,Type,Slope,Location,MossCoverage,Biocrust,WaterContent,C_N,OC,TN,pH,Shannon_Diversity,MAG_Shannon
S1_1WB,BS5562_047,Bare,West,L1,0,0,4.824779937,14.80289017,0.76827,0.0519,8.2,5.685322546,1.570748279
S2_1WC,BS5562_051,Biocrust,West,L1,10,85,5.138155852,16.47771156,1.38248,0.0839,8.38,5.245711815,1.937363493
S3_1WM,BS5562_003,Moss,West,L1,10,40,6.976417743,20.01412645,2.89024,0.14441,8.06,5.290833998,2.14142635
S4_2WB,BS5562_005,Bare,West,L2,0,0,1.942336874,14.63303475,1.48657,0.10159,8.5,5.660197415,2.018213298
S5_2WC,BS5562_048,Biocrust,West,L2,0,80,5.347674595,21.64512244,1.61754,0.07473,8.22,4.914291163,2.092056432
S6_2WM,BS5562_001,Moss,West,L2,50,45,13.62642511,30.02058423,5.95038,0.19821,8.25,0,2.44110681
S7_3WB,BS5562_049,Bare,West,L3,0,15,3.067257945,21.65571984,1.39138,0.06425,8.33,5.466152872,2.126597453
S8_3WC,BS5562_058,Biocrust,West,L3,10,85,7.681525091,14.84057027,2.05067,0.13818,8.27,5.058608086,1.252265319
S9_3WM,BS5562_050,Moss,West,L3,50,45,12.84784378,22.80626973,4.04492,0.17736,8.23,5.090652141,2.336069246
S10_4WB,BS5562_053,Bare,West,L4,0,15,5.271151613,16.31248381,1.25965,0.07722,8.4,5.632028317,2.353740088
S11_4WC,BS5562_057,Biocrust,West,L4,10,90,8.260431989,21.58821297,3.98173,0.18444,8.33,4.980621241,2.123812886
S12_4WM,BS5562_056,Moss,West,L4,0,60,16.71339961,17.46932819,3.71066,0.21241,8.03,5.345341555,2.315046634
S13_5WB,BS5562_055,Bare,West,L5,10,0,5.683309164,24.57283198,0.72539,0.02952,8.3,5.574549777,1.76789063
S14_5WC,BS5562_046,Biocrust,West,L5,0,50,8.130623126,17.67929853,0.87707,0.04961,8.66,5.240060466,2.274703696
S15_5WM,BS5562_043,Moss,West,L5,90,10,12.04466692,22.32325691,2.84309,0.12736,8.7,5.349867929,2.529549515
