,S_1CB,S_1CC,S_1CM,S_2CB,S_2CC,S_2CM,S_3CB,S_3CC,S_3CM,S_4CB,S_4CC,S_4CM,S_5CB,S_5CC,S_5CM,S_6CB,S_6CC,S_6CM
S_1CB,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S_1CC,1,0,-1,1,0.86,1,0.97,-1,-1,1,-1,1,0.93,1,-0.9,-1,-1,-0.98
S_1CM,1,-1,0,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,-0.59,0.16,-0.63
S_2CB,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S_2CC,1,0.86,1,1,0,1,1,-0.82,1,1,1,1,-0.99,1,1,-0.69,1,1
S_2CM,1,1,-1,1,1,0,1,-1,-1,1,0.36,1,1,1,-1,-1,1,1
S_3CB,1,0.97,1,1,1,1,0,1,1,1,1,1,0.32,1,1,1,1,1
S_3CC,1,-1,-1,1,-0.82,-1,1,0,-1,1,-0.33,1,1,1,-1,-1,0.93,0.6
S_3CM,1,-1,-1,1,1,-1,1,-1,0,1,-1,1,1,1,-1,0.95,0.92,-1
S_4CB,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
S_4CC,1,-1,-1,1,1,0.36,1,-0.33,-1,1,0,1,1,1,-1,1,-1,-1
S_4CM,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
S_5CB,1,0.93,1,1,-0.99,1,0.32,1,1,1,1,1,0,1,1,-1,1,1
S_5CC,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
S_5CM,1,-0.9,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,0,-1,1,0.99
S_6CB,1,-1,-0.59,1,-0.69,-1,1,-1,0.95,1,1,1,-1,1,-1,0,1,1
S_6CC,1,-1,0.16,1,1,1,1,0.93,0.92,1,-1,1,1,1,1,1,0,-1
S_6CM,1,-0.98,-0.63,1,1,1,1,0.6,-1,1,-1,1,1,1,0.99,1,-1,0
