,S_1CB,S_1CC,S_1CM,S_2CB,S_2CC,S_2CM,S_3CB,S_3CC,S_3CM,S_4CB,S_4CC,S_4CM,S_5CB,S_5CC,S_5CM,S_6CB,S_6CC,S_6CM
S_1CB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_1CC,1.9070326314473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_1CM,-2.29079959827484,-4.37402412123369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_2CB,5.48469534830491,2.20549658334106,-3.26906249022449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_2CC,3.1921157080932,1.8844027055362,-5.45740613765632,4.84553822849681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_2CM,-5.02439703717512,-7.66282198945865,-8.28819796350745,-4.62913978393625,-6.9903127912822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_3CB,3.59466486072889,1.18088371651282,-1.37279909434813,3.17980498578001,3.70766296393383,-2.95294859725266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_3CC,2.11357999893697,-1.6635021869703,-6.98094774148958,-0.697222131215287,-0.0578613736382554,-9.07684389205564,1.43277220118174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_3CM,2.36602372760621,0.18722588872317,-4.83583502450686,1.10991368007952,2.70477763504458,-7.83687437563434,2.42151046650223,-3.79996176231577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_4CB,1.08120453665858,0.12835393187395,1.34057906375024,1.41726244637721,-0.697467765354185,0.173068738924079,1.32921036782364,1.79775060074379,5.21988230669084,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_4CC,-0.574103133101773,-3.67002004792349,-6.09122241958624,-2.54461309296925,-2.36370689434761,-9.46308927164714,1.61643666576695,-8.32530465164986,-4.74968345896274,2.72213858123153,NA,NA,NA,NA,NA,NA,NA,NA
S_4CM,5.25842249005586,0.872363212395485,-7.0720938465365,4.60172798262408,3.4931503968971,-7.31564080978838,5.32809571553072,-1.49481756824548,0.413660823457508,2.18352478503462,-3.99482214872084,NA,NA,NA,NA,NA,NA,NA
S_5CB,5.44625200160111,2.45735568538651,2.48010009378644,5.51110285417048,3.33043878034409,-1.01818139813288,2.98293667783441,4.30384650924349,5.42572692285936,2.20618726245397,2.83561203181736,6.68998459131069,NA,NA,NA,NA,NA,NA
S_5CC,5.59412158701179,2.81452177246667,-6.49346103660465,4.68436552711903,3.44217374071618,-8.27123560622053,4.06379681602346,-0.108438585859975,0.481085480509426,1.51985476635685,-4.09425669486727,3.54197475216336,7.15824114534847,NA,NA,NA,NA,NA
S_5CM,-4.34200015333006,-5.31227796430308,-6.51148859361429,-4.34287300484452,-7.21556043283048,-7.00173417594553,-2.83914822395494,-9.70545673475977,-7.10674842998804,2.37801829882765,-7.68669263919761,-7.88072367801686,0.361625137954506,-7.16745992176423,NA,NA,NA,NA
S_6CB,3.50088584641984,2.75689332113229,2.2507998064614,3.88336936513924,1.28506614046948,-0.147453734730111,3.11486410952624,4.3020397034349,4.7570117270305,2.8247113340083,1.07414562115936,3.76467882312455,-0.909648856029941,2.96224099151188,0.301363149660106,NA,NA,NA
S_6CC,1.55894188746366,-1.08945310366167,-5.19822874092263,0.205312509611225,0.19997568408125,-7.24766531397882,3.52002295160469,-2.74068959047575,-2.02151746964336,3.66173944383586,-1.58281464808665,-1.62729575288696,4.41448231737186,0.101255717236129,-6.77784995532961,3.1525196675411,NA,NA
S_6CM,1.53544560657875,-0.381419705885942,-5.96678197203946,-0.361928005215257,0.932819608537835,-8.01600452730619,4.34535574157762,-2.59974730785074,-3.1649829117181,4.07696269464394,-3.26651362825567,-2.1463834712007,5.82035089579728,-1.99437274945168,-8.52593810204747,5.41828333433301,-3.67342765847088,NA
