,S_1EB,S_1EC,S_1EM,S_2EB,S_2EC,S_2EM,S_3EB,S_3EC,S_3EM,S_4EB,S_4EC,S_4EM,S_5EB,S_5EC,S_5EM,S_6EB,S_6EC,S_6EM
S_1EB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_1EC,3.25444059151503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_1EM,4.95427039361267,3.40336003443125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_2EB,7.40889252710352,4.93452963804335,2.53590841183917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_2EC,6.21093382795732,6.71546845849282,1.95533019622738,1.36762433961688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_2EM,6.8076138530789,4.48130497830303,5.10786107353161,2.13883246001265,0.899681072091338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_3EB,5.32457989299928,4.66388397595464,2.46012633170151,4.40253531990337,0.115631109442612,3.25091565738849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_3EC,5.29477000747701,4.00053704312379,1.97890165492979,2.25922664501091,0.0489812291634657,-2.19119644779474,2.79404177118986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_3EM,4.98839125934375,4.3661839681266,0.462902407305804,2.48396273063683,0.985987917405501,-3.76964938527442,0.996856939306484,-4.23950617524483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_4EB,3.73625783173645,4.33942024808047,5.549649669274,6.52560116064733,4.84828196798757,4.4003359748671,7.13930885972148,-0.953359178216636,-2.91533222554693,NA,NA,NA,NA,NA,NA,NA,NA,NA
S_4EC,2.79587075637802,5.66075141186881,1.39059023191862,2.79901725363961,0.14829285376923,3.06091403165011,1.16740209087523,2.07172391428994,1.16396509844669,4.21249568467569,NA,NA,NA,NA,NA,NA,NA,NA
S_4EM,1.97558542582287,1.38461497748194,-0.451389718634239,0.347297438461133,0.329811731344105,-3.24327918130338,-1.03302898368443,-2.95031457100723,-4.55825561228385,-1.08373299398893,-1.28412398614741,NA,NA,NA,NA,NA,NA,NA
S_5EB,0.399783293702504,0.600972525007138,2.61445660389549,1.52338131231321,1.74354139089899,1.80145263092814,2.88261092429586,-0.340533729128466,-1.52643559562494,-3.42057474672619,1.71607348716091,-1.53637550116507,NA,NA,NA,NA,NA,NA
S_5EC,6.60639655561878,4.56141893440197,3.18010817185225,2.07137062139585,-0.424455411907807,1.48769326006807,1.09603909726317,-1.32620710303296,-0.806932364799463,2.73580536634049,1.16547453368209,-0.805092426687056,1.13439239084454,NA,NA,NA,NA,NA
S_5EM,4.30668156954966,3.12335253884491,1.84491661337078,2.90102623988039,1.41516674725136,1.23922277472033,3.68959560399885,-0.710946229538212,-4.17263764741026,2.53914339026491,0.73929898585548,-3.98752499587008,-1.62251786791338,0.853510085845895,NA,NA,NA,NA
S_6EB,5.95973796814995,3.86407546819209,4.61979832466848,4.5702199071547,1.21363407577093,4.89593328593685,5.29578307957089,1.88206297424171,1.76816471051461,6.95895437882827,2.86662506895784,0.598465852242043,2.3224803606749,2.37887613877059,4.92007337682019,NA,NA,NA
S_6EC,3.94612048936053,5.64242630372203,1.86120299304131,-0.090524180460828,-1.27385528637981,-5.20255236366173,0.514576092463465,-5.2742968711245,-6.83031787907712,-3.23032871183403,-1.26816779246852,-6.24400965419017,-1.94269747378206,-4.06688780222447,-5.87583620157587,1.45607434694032,NA,NA
S_6EM,1.25025411735807,1.34761866498564,0.876094508284532,2.18333427948876,0.213838419221724,-0.164292678803727,1.1622740803158,-2.37098938142211,-3.93036218953074,-2.69088579728129,0.307426333423966,-5.62371137931804,-2.95006346532719,-2.11628840794713,-3.17421668686635,2.00367265620961,-5.24344284663038,NA
