,S_1WB,S_1WC,S_1WM,S_2WB,S_2WC,S_2WM,S_3WB,S_3WC,S_3WM,S_4WB,S_4WC,S_4WM,S_5WB,S_5WC,S_5WM,S_6WB,S_6WC,S_6WM
S_1WB,0,1,-1,1,-1,0.49,1,-1,-0.93,1,1,-1,1,1,1,1,1,-1
S_1WC,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S_1WM,-1,1,0,1,-1,-1,1,-1,-1,1,1,-1,1,1,-0.46,1,1,-1
S_2WB,1,1,1,0,1,1,0.97,1,1,1,1,1,1,1,1,-0.9,1,1
S_2WC,-1,1,-1,1,0,-1,1,-1,-1,1,1,-1,1,1,-0.4,1,1,-1
S_2WM,0.49,1,-1,1,-1,0,1,-1,-1,1,1,-1,1,1,-1,1,1,-1
S_3WB,1,1,1,0.97,1,1,0,1,1,1,1,1,1,1,1,1,1,1
S_3WC,-1,1,-1,1,-1,-1,1,0,-1,1,1,-1,1,1,0.97,1,1,-1
S_3WM,-0.93,1,-1,1,-1,-1,1,-1,0,1,1,-1,1,1,-0.93,1,1,-1
S_4WB,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
S_4WC,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
S_4WM,-1,1,-1,1,-1,-1,1,-1,-1,1,1,0,1,1,0.88,1,1,-1
S_5WB,1,1,1,1,1,1,1,1,1,1,1,1,0,-0.51,1,1,1,1
S_5WC,1,1,1,1,1,1,1,1,1,1,1,1,-0.51,0,1,1,1,1
S_5WM,1,1,-0.46,1,-0.4,-1,1,0.97,-0.93,1,1,0.88,1,1,0,1,1,-0.37
S_6WB,1,1,1,-0.9,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S_6WC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S_6WM,-1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-0.37,1,1,0
