ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV1,f_o_Rhizobiales_ASV1_ASV1,g_f_o_Rhizobiales_ASV1_ASV1_ASV1
ASV2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,g_Mesorhizobium_ASV2
ASV3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,g_Mesorhizobium_ASV3
ASV4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,g_Mesorhizobium_ASV4
ASV5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,g_Mesorhizobium_ASV5
ASV6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV6,f_o_Rhizobiales_ASV6_ASV6,g_f_o_Rhizobiales_ASV6_ASV6_ASV6
ASV7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV7,f_o_Rhizobiales_ASV7_ASV7,g_f_o_Rhizobiales_ASV7_ASV7_ASV7
ASV8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales_ASV8,f_o_Rhizobiales_ASV8_ASV8,g_f_o_Rhizobiales_ASV8_ASV8_ASV8
ASV9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,g_Hyphomicrobium_ASV9
ASV10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,f_Hyphomicrobiaceae_ASV10,g_f_Hyphomicrobiaceae_ASV10_ASV10
ASV11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,f_Hyphomicrobiaceae_ASV11,g_f_Hyphomicrobiaceae_ASV11_ASV11
ASV12,Bacteria,Proteobacteria,p_Proteobacteria_ASV12,c_p_Proteobacteria_ASV12_ASV12,o_c_p_Proteobacteria_ASV12_ASV12_ASV12,f_o_c_p_Proteobacteria_ASV12_ASV12_ASV12_ASV12,g_f_o_c_p_Proteobacteria_ASV12_ASV12_ASV12_ASV12_ASV12
ASV13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,g_Hyphomicrobium_ASV13
ASV14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,g_Hyphomicrobium_ASV14
ASV15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,g_Hyphomicrobium_ASV15
