OTU,S01,S02,S03,S05,S06,S07,S08,S09,S10,S11,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S25,S26,S27,S28,S29,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S55,S56,S57,S58,S59
1Fungi_Ascomycota,319,165782,2530,4237,3195,48830,127149,3823,149339,4795,173043,169,125,270,57,160422,2272,3631,4086,87652,0,7871,88748,1628,124194,75,4505,114267,69956,146753,1455,157240,3241,116918,81980,2937,99,93,181,9592,589,495,821,514,97,14360,0,2912,2475,2514,369,3364,145357
2Fungi_Ascomycota,158151,0,130138,119726,46186,58,0,0,97,0,0,59,0,0,95739,158,0,0,0,56,0,101,62049,0,0,0,0,0,67,0,0,0,0,0,74,0,0,81420,84,4780,16067,15184,145892,137850,98181,151024,316,117475,64501,134808,131170,127133,311
3Fungi,0,80,0,0,0,183,95,3695,1904,24255,3837,0,13728,163581,0,699,34616,0,20895,47734,22413,41441,898,0,2576,0,0,4970,6853,507,5938,316,97431,65,4109,34638,60296,0,0,0,0,0,79,0,0,122,0,0,0,0,0,85,196
4Fungi,2113,0,84,8278,16832,0,0,0,0,0,0,16072,0,0,78,0,0,52983,0,0,0,0,0,10190,0,13919,27493,0,0,0,0,0,0,0,0,0,0,8055,33140,56372,48434,46433,0,535,295,0,35340,2392,35603,1215,106,0,0
5Fungi,0,110,0,7419,208,427,872,0,0,95,4491,42724,1466,0,0,493,0,31721,108490,445,0,782,167,0,625,1350,100956,7419,4384,2963,0,16890,0,392,249,98,0,282,46563,28186,560,505,0,0,0,147,58,0,0,62,0,0,0
6Fungi,0,0,187,734,11421,330,57,0,1200,18327,0,0,0,1513,0,1139,0,1457,0,0,0,72,675,0,528,73386,5356,101,13821,0,0,0,0,3044,90,0,0,0,16903,828,435,343,0,0,0,0,7885,0,541,0,0,0,120
7Fungi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112298,0,0,0,0,0,0
8Sordariomycetes_Hypocreales,0,0,0,131,8160,30872,0,0,0,199,0,3846,0,0,0,0,0,0,0,5219,0,24550,2294,235,0,2080,3078,0,4283,0,0,0,195,0,2467,189,0,3257,183,1038,79,63,0,363,62,0,421,150,172,0,0,0,0
9Hypocreales_Acremonium,0,0,0,97,15367,5511,0,0,0,269,0,21093,92,0,188,3390,0,0,0,0,0,283,0,0,0,427,376,0,834,0,0,0,0,0,21150,154,0,3581,0,0,181,189,0,423,99,0,1181,0,316,0,0,0,0
10Fungi_Ascomycota,0,5823,101,162,107,1829,4576,144,5389,159,6205,0,0,0,0,5522,102,159,135,3079,0,269,3093,72,4494,0,184,4109,2605,5113,53,5781,112,4093,2952,93,0,0,0,354,0,0,0,0,0,493,0,114,79,87,0,105,5136
11Fungi_Basidiomycota,0,0,0,0,0,0,0,487,646,0,0,0,0,0,0,0,0,13569,0,0,0,0,0,0,0,0,0,5938,0,0,0,0,0,0,0,0,0,52,0,15998,0,0,0,0,0,0,0,0,10282,0,0,0,0
12Fungi,0,0,0,61,0,0,0,0,0,0,0,277,0,0,0,460,9312,245,0,144,0,57,0,8760,3096,0,4085,149,0,0,201,0,2312,0,0,0,0,0,709,0,0,52,0,0,0,0,0,0,3366,0,0,0,0
13Fungi,0,54,0,0,0,0,0,0,0,0,0,0,0,10035,0,0,0,0,0,0,0,0,0,0,0,0,0,118,569,0,0,0,0,0,0,0,0,0,0,0,11654,10305,0,0,0,0,0,0,0,0,0,0,0
14Fungi,0,0,0,0,0,0,0,1753,0,3019,0,0,3277,0,0,52,0,0,0,0,2818,983,0,0,0,1422,0,0,0,0,291,0,9002,0,0,0,0,0,64,0,0,0,0,0,0,0,9090,0,656,0,0,0,0
15Fungi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16Fungi,0,1501,0,0,135,150,627,0,1226,2603,0,0,0,637,0,0,0,0,0,0,252,0,0,0,0,0,199,113,0,0,1462,56,3945,5069,471,3732,0,78,2081,108,0,0,0,0,0,0,0,0,60,0,0,0,1334
17Fungi,0,1130,0,0,0,154,260,0,3687,654,373,100,0,70,0,0,0,3749,4993,159,114,0,0,70,990,2345,141,85,140,2548,0,781,303,1661,114,148,0,0,666,53,0,0,0,0,0,0,0,0,0,0,0,0,246
18Fungi_Basidiomycota,0,0,0,0,309,88,0,0,0,0,0,176,150,0,0,0,77,0,188,1486,326,0,0,4689,120,0,2036,0,241,99,455,0,3602,66,562,388,2132,0,1176,133,0,0,0,0,0,0,227,0,0,0,0,0,510
19Fungi,0,68,0,58,0,916,412,53,4412,594,0,0,0,159,0,0,0,0,0,0,283,0,0,0,0,0,0,96,171,2700,4002,316,535,0,0,1877,0,0,243,167,0,0,0,0,0,0,0,0,205,0,0,0,174
20Fungi_Basidiomycota,0,0,0,0,0,0,0,0,0,0,67,240,144,0,0,114,129,1118,733,83,662,626,0,0,142,0,649,0,785,508,0,129,3571,0,729,761,764,0,4362,0,0,0,0,0,0,0,0,135,0,0,0,0,0
21Fungi,0,0,0,0,262,0,0,0,0,193,0,0,58,0,0,0,741,0,0,0,0,0,0,0,0,9915,0,584,850,367,0,367,0,1275,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926
