from	interaction	to	value
bin770	np	bin247	-1
bin769	pp	bin295	1
bin768	np	bin763	-1
bin768	pp	bin727	1
bin768	np	bin589	-1
bin768	np	bin339	-1
bin768	np	bin88	-1
bin762	np	bin150	-1
bin758	pp	bin45	1
bin750	pp	bin573	1
bin750	np	bin405	-1
bin748	pp	bin712	1
bin748	pp	bin689	1
bin748	pp	bin682	1
bin748	pp	bin620	1
bin748	pp	bin524	1
bin748	pp	bin163	1
bin748	pp	bin126	1
bin748	pp	bin13	1
bin746	np	bin716	-1
bin746	pp	bin146	1
bin742	pp	bin626	1
bin742	pp	bin577	1
bin742	pp	bin371	1
bin742	pp	bin80	1
bin742	pp	bin70	1
bin742	pp	bin16	1
bin727	np	bin589	-1
bin727	np	bin199	-1
bin725	np	bin686	-1
bin725	np	bin621	-1
bin725	pp	bin565	1
bin725	pp	bin488	1
bin725	np	bin127	-1
bin725	pp	bin35	1
bin725	pp	bin30	1
bin724	np	bin503	-1
bin724	np	bin199	-1
bin722	pp	bin610	1
bin722	pp	bin501	1
bin722	pp	bin126	1
bin722	pp	bin58	1
bin721	np	bin621	-1
bin721	pp	bin565	1
bin720	pp	bin610	1
bin720	pp	bin570	1
bin720	pp	bin420	1
bin720	pp	bin13	1
bin717	pp	bin126	1
bin716	np	bin176	-1
bin714	np	bin711	-1
bin714	np	bin483	-1
bin714	np	bin362	-1
bin714	np	bin243	-1
bin714	np	bin40	-1
bin712	pp	bin524	1
bin712	np	bin512	-1
bin712	np	bin405	-1
bin712	np	bin339	-1
bin712	np	bin174	-1
bin712	pp	bin13	1
bin711	np	bin503	-1
bin711	np	bin421	-1
bin708	pp	bin547	1
bin707	np	bin621	-1
bin707	pp	bin201	1
bin707	pp	bin175	1
bin707	pp	bin135	1
bin707	pp	bin67	1
bin700	np	bin238	-1
bin699	np	bin599	-1
bin699	pp	bin42	1
bin698	pp	bin576	1
bin696	pp	bin649	1
bin696	pp	bin409	1
bin696	pp	bin126	1
bin694	np	bin592	-1
bin689	pp	bin42	1
bin686	np	bin531	-1
bin686	np	bin503	-1
bin686	np	bin199	-1
bin686	np	bin176	-1
bin682	np	bin503	-1
bin682	np	bin174	-1
bin679	np	bin472	-1
bin677	np	bin592	-1
bin676	np	bin621	-1
bin676	np	bin594	-1
bin676	np	bin196	-1
bin676	np	bin173	-1
bin656	pp	bin93	1
bin655	pp	bin215	1
bin649	np	bin589	-1
bin649	pp	bin420	1
bin649	np	bin199	-1
bin649	pp	bin152	1
bin649	pp	bin126	1
bin648	np	bin199	-1
bin647	np	bin626	-1
bin647	pp	bin114	1
bin647	pp	bin17	1
bin645	pp	bin17	1
bin644	np	bin362	-1
bin644	np	bin40	-1
bin636	pp	bin548	1
bin636	pp	bin196	1
bin635	pp	bin23	1
bin626	np	bin406	-1
bin626	np	bin247	-1
bin626	pp	bin16	1
bin621	pp	bin570	1
bin621	np	bin531	-1
bin621	np	bin505	-1
bin621	np	bin503	-1
bin621	np	bin199	-1
bin621	np	bin67	-1
bin621	np	bin48	-1
bin621	np	bin35	-1
bin620	np	bin503	-1
bin620	pp	bin13	1
bin610	np	bin589	-1
bin610	pp	bin280	1
bin610	np	bin199	-1
bin610	np	bin174	-1
bin610	pp	bin58	1
bin609	pp	bin565	1
bin608	pp	bin88	1
bin603	pp	bin163	1
bin597	np	bin127	-1
bin594	np	bin589	-1
bin594	pp	bin570	1
bin594	np	bin503	-1
bin594	np	bin342	-1
bin594	np	bin199	-1
bin592	np	bin536	-1
bin592	np	bin421	-1
bin592	np	bin247	-1
bin592	np	bin188	-1
bin592	np	bin88	-1
bin591	pp	bin270	1
bin591	np	bin247	-1
bin591	pp	bin163	1
bin591	pp	bin42	1
bin589	np	bin570	-1
bin589	pp	bin505	1
bin589	np	bin483	-1
bin589	np	bin362	-1
bin589	np	bin243	-1
bin587	pp	bin528	1
bin587	pp	bin490	1
bin587	pp	bin163	1
bin587	pp	bin126	1
bin587	pp	bin80	1
bin587	pp	bin42	1
bin579	np	bin347	-1
bin579	np	bin173	-1
bin577	pp	bin490	1
bin577	pp	bin423	1
bin577	pp	bin371	1
bin577	pp	bin308	1
bin577	pp	bin248	1
bin577	pp	bin239	1
bin577	pp	bin177	1
bin577	pp	bin144	1
bin577	pp	bin112	1
bin577	pp	bin80	1
bin577	pp	bin70	1
bin577	pp	bin42	1
bin577	pp	bin16	1
bin576	pp	bin66	1
bin576	pp	bin5	1
bin574	np	bin503	-1
bin574	pp	bin338	1
bin573	np	bin405	-1
bin570	pp	bin494	1
bin570	pp	bin420	1
bin570	pp	bin243	1
bin570	pp	bin126	1
bin565	pp	bin531	1
bin565	pp	bin199	1
bin565	pp	bin175	1
bin565	pp	bin45	1
bin565	pp	bin30	1
bin558	np	bin247	-1
bin554	np	bin247	-1
bin554	pp	bin163	1
bin548	np	bin512	-1
bin548	np	bin503	-1
bin548	np	bin35	-1
bin547	pp	bin123	1
bin544	np	bin503	-1
bin544	np	bin486	-1
bin544	np	bin405	-1
bin544	np	bin174	-1
bin544	np	bin45	-1
bin544	np	bin35	-1
bin541	np	bin243	-1
bin538	np	bin362	-1
bin538	pp	bin146	1
bin536	pp	bin39	1
bin531	pp	bin175	1
bin531	pp	bin45	1
bin528	np	bin450	-1
bin526	np	bin174	-1
bin524	pp	bin163	1
bin524	pp	bin13	1
bin519	np	bin199	-1
bin513	pp	bin511	1
bin512	np	bin243	-1
bin512	np	bin196	-1
bin505	np	bin362	-1
bin505	np	bin243	-1
bin503	np	bin483	-1
bin503	np	bin243	-1
bin503	np	bin196	-1
bin503	np	bin127	-1
bin503	np	bin13	-1
bin497	pp	bin169	1
bin494	pp	bin86	1
bin494	pp	bin42	1
bin490	pp	bin423	1
bin490	pp	bin80	1
