from	interaction	to	value
bin763	np	bin455	-1
bin763	np	bin439	-1
bin763	np	bin234	-1
bin750	np	bin368	-1
bin750	np	bin51	-1
bin750	np	bin28	-1
bin721	pp	bin464	1
bin721	np	bin247	-1
bin717	np	bin247	-1
bin717	np	bin28	-1
bin708	np	bin648	-1
bin708	np	bin425	-1
bin708	np	bin253	-1
bin708	np	bin207	-1
bin708	np	bin32	-1
bin707	np	bin497	-1
bin699	np	bin639	-1
bin699	np	bin497	-1
bin699	np	bin398	-1
bin699	np	bin222	-1
bin699	np	bin100	-1
bin688	np	bin243	-1
bin683	np	bin497	-1
bin683	np	bin266	-1
bin679	np	bin230	-1
bin679	np	bin17	-1
bin657	np	bin583	-1
bin657	np	bin399	-1
bin657	np	bin294	-1
bin657	np	bin50	-1
bin657	np	bin35	-1
bin655	pp	bin308	1
bin655	pp	bin215	1
bin648	np	bin405	-1
bin645	pp	bin330	1
bin644	np	bin643	-1
bin644	np	bin112	-1
bin639	np	bin490	-1
bin639	np	bin438	-1
bin639	np	bin412	-1
bin639	np	bin410	-1
bin607	pp	bin143	1
bin590	pp	bin406	1
bin590	np	bin405	-1
bin590	np	bin277	-1
bin583	np	bin423	-1
bin583	np	bin373	-1
bin583	np	bin326	-1
bin583	np	bin215	-1
bin579	pp	bin565	1
bin579	pp	bin464	1
bin579	pp	bin366	1
bin577	np	bin549	-1
bin574	pp	bin439	1
bin574	np	bin400	-1
bin574	pp	bin234	1
bin574	np	bin93	-1
bin574	pp	bin36	1
bin565	np	bin403	-1
bin565	pp	bin366	1
bin565	pp	bin67	1
bin549	np	bin247	-1
bin549	np	bin123	-1
bin547	np	bin425	-1
bin547	pp	bin30	1
bin544	np	bin21	-1
bin541	np	bin243	-1
bin538	pp	bin336	1
bin513	np	bin123	-1
bin511	pp	bin447	1
bin511	np	bin438	-1
bin511	pp	bin169	1
bin507	pp	bin423	1
bin507	np	bin378	-1
bin507	np	bin318	-1
bin505	pp	bin492	1
bin505	np	bin438	-1
bin505	np	bin423	-1
bin505	np	bin308	-1
bin505	np	bin276	-1
bin505	np	bin215	-1
bin505	np	bin201	-1
bin505	pp	bin168	1
bin500	np	bin405	-1
bin500	np	bin402	-1
bin500	pp	bin251	1
bin500	np	bin185	-1
bin500	np	bin61	-1
bin500	np	bin45	-1
bin497	np	bin412	-1
bin497	np	bin410	-1
bin497	np	bin400	-1
bin497	np	bin253	-1
bin497	np	bin190	-1
bin492	np	bin438	-1
bin492	pp	bin23	1
bin490	np	bin398	-1
bin490	np	bin348	-1
bin490	np	bin222	-1
bin484	np	bin416	-1
bin484	np	bin348	-1
bin484	np	bin168	-1
bin484	np	bin100	-1
bin484	np	bin32	-1
bin484	np	bin28	-1
bin464	np	bin403	-1
bin464	pp	bin366	1
bin464	np	bin318	-1
bin464	np	bin243	-1
bin462	np	bin277	-1
bin462	np	bin253	-1
bin459	pp	bin30	1
bin455	np	bin278	-1
bin455	np	bin123	-1
