Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
bin763	3	21.2760683760684	80	0.00185085228763398	0.333333333333333	1	0.229415733870562	0
bin750	3	266.000036075036	744	0.0382173154232039	0	2	0	0.444444444444444
bin721	2	121.139033189033	218	0.0179378849208825	0	0	-0.850240404384047	0.5
bin717	2	42.526774713075	225	0.048163321236043	0	1	-1.14707866935281	0.5
bin708	5	508.989348885847	1751	0.0626741541934337	0	5	0.227921152919276	0.56
bin707	1	0	0	0.00772466254521486	0	3	-1.01600101600152	0
bin699	5	206.775045957941	885	0.051188643817969	0	3	0.698500698501048	0.32
bin688	1	0	0	0.00285058451748209	0	0	-0.850240404384047	0
bin683	2	39.1824081147611	114	0.0355536382222938	0	3	-1.01600101600152	0.5
bin679	2	129	295	0.000453493704398316	0	0	-0.218010360098473	0
bin657	5	443.480914918415	1078	0.0276547373516336	0	2	2.64575131106459	0
bin655	2	0	0	0.117576007815155	1	4	-0.788240781368082	0
bin648	2	25.3871465703946	200	0.0349712002645329	0	5	-0.455842305838552	0
bin645	1	0	0	4.83826324702219e-69	0	10	0	0
bin644	2	2	2	8.61200898891163e-51	0	6	1	0
bin643	1	0	0	5.322514266567e-51	0	6	-1	0
bin639	5	197.450403144327	794	0.070718676476854	0	3	0.698500698501048	0.32
bin607	1	0	0	4.83826324702219e-69	0	11	0	0
bin590	3	141.183583083583	468	0.0358364640175852	0	5	0.227921152919276	0
bin583	5	653.581770843535	1792	0.123895244005114	0	2	0.881917103688197	0.48
bin579	3	4.38201754385965	26	0.00935217165943418	0.666666666666667	0	0.4142196841871	0
bin577	1	0	0	0.00230250995309729	0	1	-1.14707866935281	0
bin574	5	242.416106442577	714	0.00334823805751079	0.3	1	1.60591013709393	0
bin565	4	66.9421245421245	207	0.0148042774947859	0.333333333333333	0	1.04644972847267	0
bin549	3	471.008376835583	1163	0.0137460001530219	0	1	0.229415733870562	0
bin547	2	112.209126984127	260	0.00559671322979739	0	5	-1.13960576459638	0.5
bin544	1	0	0	0.000491268095350748	0	0	-0.850240404384047	0
bin541	1	0	0	0.00285058451748209	0	0	-0.850240404384047	0
bin538	1	0	0	0.000114758507516418	0	1	-1.14707866935281	0
bin513	1	0	0	0.000552720570766902	0	1	-1.14707866935281	0
bin511	3	142.940640482668	295	0.0819378487624662	0.333333333333333	4	-0.3638034375545	0
bin507	3	338.932371001107	976	0.0636644621522116	0	5	-0.455842305838552	0.444444444444444
bin505	8	253.243610579021	836	0.317757928907112	0.321428571428571	4	1.75838328151341	0
bin500	6	425.624362235395	1866	0.0501413459208882	0.0666666666666667	5	1.59544807043493	0.277777777777778
bin497	8	867.247042510443	2241	0.046116288165117	0	3	1.84150184150276	0.40625
bin492	3	129	301	0.094490605528418	0.333333333333333	4	-0.3638034375545	0
bin490	4	89.1762956828747	549	0.0664466739103774	0	3	0.127000127000191	0.375
