Sample,Type,Slope,Location
S1CB,Bare,Center,L1
S1CC,Crust,Center,L1
S1CM,Moss,Center,L1
S1EB,Bare,East,L1
S1EC,Crust,East,L1
S1EM,Moss,East,L1
S1WB,Bare,West,L1
S1WC,Crust,West,L1
S1WM,Moss,West,L1
S2CB,Bare,Center,L2
S2CC,Crust,Center,L2
S2CM,Moss,Center,L2
S2EB,Bare,East,L2
S2EC,Crust,East,L2
S2EM,Moss,East,L2
S2WB,Bare,West,L2
S2WC,Crust,West,L2
S2WM,Moss,West,L2
S3CB,Bare,Center,L3
S3CC,Crust,Center,L3
S3CM,Moss,Center,L3
S3EB,Bare,East,L3
S3EC,Crust,East,L3
S3EM,Moss,East,L3
S3WB,Bare,West,L3
S3WC,Crust,West,L3
S3WM,Moss,West,L3
S4CB,Bare,Center,L4
S4CC,Crust,Center,L4
S4CM,Moss,Center,L4
S4EB,Bare,East,L4
S4EC,Crust,East,L4
S4EM,Moss,East,L4
S4WB,Bare,West,L4
S4WC,Crust,West,L4
S4WM,Moss,West,L4
S5CB,Bare,Center,L5
S5CC,Crust,Center,L5
S5CM,Moss,Center,L5
S5EB,Bare,East,L5
S5EC,Crust,East,L5
S5EM,Moss,East,L5
S5WB,Bare,West,L5
S5WC,Crust,West,L5
S5WM,Moss,West,L5
S6CB,Bare,Center,L6
S6CC,Crust,Center,L6
S6CM,Moss,Center,L6
S6EB,Bare,East,L6
S6EC,Crust,East,L6
S6EM,Moss,East,L6
S6WB,Bare,West,L6
S6WC,Crust,West,L6
S6WM,Moss,West,L6
