from	interaction	to	value
bin769	pp	bin295	1
bin769	pp	bin28	1
bin766	np	bin35	-1
bin763	pp	bin464	1
bin763	np	bin310	-1
bin758	np	bin498	-1
bin758	np	bin247	-1
bin752	np	bin699	-1
bin752	pp	bin608	1
bin752	np	bin143	-1
bin747	np	bin452	-1
bin747	np	bin318	-1
bin747	np	bin261	-1
bin719	np	bin254	-1
bin707	pp	bin248	1
bin707	pp	bin146	1
bin705	pp	bin220	1
bin705	pp	bin173	1
bin705	pp	bin26	1
bin699	pp	bin607	1
bin699	np	bin512	-1
bin699	np	bin505	-1
bin699	np	bin503	-1
bin699	np	bin498	-1
bin699	np	bin492	-1
bin699	np	bin452	-1
bin699	np	bin384	-1
bin699	np	bin345	-1
bin699	np	bin247	-1
bin699	np	bin172	-1
bin699	np	bin46	-1
bin699	np	bin8	-1
bin696	pp	bin494	1
bin677	pp	bin471	1
bin677	pp	bin318	1
bin666	pp	bin40	1
bin648	np	bin561	-1
bin648	np	bin505	-1
bin648	np	bin498	-1
bin648	np	bin452	-1
bin648	np	bin345	-1
bin648	np	bin247	-1
bin648	np	bin8	-1
bin645	pp	bin23	1
bin640	np	bin561	-1
bin608	pp	bin503	1
bin608	np	bin177	-1
bin608	np	bin143	-1
bin608	pp	bin46	1
bin607	pp	bin577	1
bin607	np	bin561	-1
bin607	np	bin511	-1
bin607	np	bin505	-1
bin607	pp	bin239	1
bin607	pp	bin93	1
bin607	pp	bin66	1
bin600	np	bin295	-1
bin600	np	bin28	-1
bin592	pp	bin494	1
bin592	pp	bin164	1
bin592	pp	bin57	1
bin592	np	bin20	-1
bin583	np	bin513	-1
bin583	np	bin62	-1
bin577	np	bin511	-1
bin577	pp	bin308	1
bin577	pp	bin239	1
bin577	pp	bin93	1
bin577	pp	bin66	1
bin574	pp	bin280	1
bin574	pp	bin42	1
bin565	pp	bin464	1
bin565	pp	bin421	1
bin565	pp	bin248	1
bin561	np	bin66	-1
bin541	np	bin248	-1
bin541	np	bin196	-1
bin541	np	bin45	-1
bin529	np	bin310	-1
bin512	np	bin379	-1
bin512	np	bin261	-1
bin512	np	bin254	-1
bin512	np	bin182	-1
bin512	np	bin128	-1
bin511	np	bin93	-1
bin505	pp	bin498	1
bin505	np	bin220	-1
bin505	np	bin163	-1
bin503	np	bin254	-1
bin503	np	bin163	-1
bin498	np	bin311	-1
bin498	np	bin308	-1
bin498	np	bin239	-1
bin498	np	bin220	-1
bin498	np	bin195	-1
bin498	np	bin182	-1
bin498	np	bin177	-1
bin498	np	bin176	-1
bin498	np	bin122	-1
bin498	np	bin66	-1
bin498	np	bin17	-1
bin498	np	bin12	-1
bin497	np	bin45	-1
bin494	pp	bin164	1
bin494	pp	bin93	1
bin494	pp	bin80	1
bin494	pp	bin57	1
bin494	pp	bin51	1
bin472	np	bin35	-1
bin472	np	bin21	-1
bin471	pp	bin342	1
bin471	pp	bin318	1
bin471	pp	bin307	1
bin471	pp	bin288	1
bin471	pp	bin142	1
bin471	pp	bin114	1
bin471	pp	bin30	1
bin470	np	bin379	-1
bin464	np	bin136	-1
bin452	np	bin450	-1
bin452	np	bin163	-1
bin452	np	bin66	-1
bin444	np	bin12	-1
bin425	np	bin104	-1
bin409	np	bin288	-1
bin409	np	bin254	-1
bin384	pp	bin172	1
bin384	np	bin128	-1
bin384	np	bin40	-1
bin371	pp	bin308	1
bin371	pp	bin220	1
bin345	np	bin310	-1
bin345	np	bin308	-1
bin345	np	bin248	-1
bin345	np	bin239	-1
bin345	np	bin143	-1
bin345	np	bin128	-1
bin345	np	bin73	-1
bin345	np	bin66	-1
bin345	np	bin45	-1
bin345	np	bin40	-1
bin343	np	bin247	-1
bin335	pp	bin86	1
bin318	np	bin163	-1
bin318	np	bin136	-1
bin318	np	bin66	-1
bin311	pp	bin30	1
bin310	np	bin261	-1
bin310	np	bin28	-1
bin308	pp	bin201	1
bin308	pp	bin195	1
bin308	pp	bin93	1
bin308	pp	bin66	1
bin307	pp	bin288	1
bin307	pp	bin114	1
bin307	pp	bin30	1
bin303	np	bin254	-1
bin303	pp	bin196	1
bin303	pp	bin146	1
bin303	pp	bin45	1
bin295	np	bin168	-1
bin295	np	bin17	-1
bin288	pp	bin114	1
bin288	np	bin40	-1
bin288	np	bin12	-1
bin261	np	bin12	-1
bin254	np	bin73	-1
bin254	np	bin48	-1
bin254	np	bin35	-1
bin248	pp	bin146	1
bin248	np	bin74	-1
bin247	np	bin210	-1
bin247	np	bin122	-1
bin247	np	bin104	-1
bin247	np	bin17	-1
bin239	pp	bin93	1
bin239	pp	bin66	1
bin210	pp	bin30	1
bin196	np	bin110	-1
bin196	pp	bin57	1
bin196	np	bin28	-1
bin196	np	bin20	-1
bin176	pp	bin122	1
bin174	np	bin143	-1
bin172	pp	bin150	1
bin172	np	bin128	-1
bin165	pp	bin86	1
bin164	pp	bin57	1
bin163	np	bin21	-1
bin146	pp	bin104	1
bin143	np	bin46	-1
bin142	pp	bin30	1
bin126	pp	bin42	1
bin122	pp	bin30	1
bin122	np	bin20	-1
bin100	np	bin80	-1
bin93	pp	bin66	1
bin93	pp	bin57	1
bin86	pp	bin48	1
bin80	pp	bin42	1
bin75	np	bin40	-1
bin74	pp	bin30	1
bin68	np	bin17	-1
bin45	np	bin28	-1
bin45	np	bin20	-1
bin40	np	bin20	-1
bin28	np	bin17	-1
bin19	pp	bin12	1
