Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
bin769	2	19.8506063984325	166	0.00798633914896722	0	7	-0.277350098112614	0
bin766	1	0	0	0.000964885109959268	0	4	-0.784464540552736	0
bin763	2	45.9294314381271	131	0.00910174260729402	0	0	-0.39503285358817	0
bin758	2	13.8511405261405	108	0.0715828265536346	0	1	-0.288675134594813	0
bin752	3	21.5987345987346	133	0.062195232046955	0.333333333333333	2	0.116247638743819	0
bin747	3	46.0571639145169	195	0.040120739905444	0	0	-0.39503285358817	0.444444444444444
bin719	1	0	0	0.00572733346440082	0	4	-0.784464540552736	0
bin707	2	0	0	0.0103722758950053	1	3	-0.379473319220206	0
bin705	3	227	1039	0.0149022575380799	0	1	0.288675134594813	0
bin699	14	1219.40400133825	4634	0.288071951684208	0.032967032967033	2	2.4412004136202	0.642857142857143
bin696	1	0	0	0.00866466626885732	0	6	-1.30545982401324	0
bin677	2	0	0	0.0170230441334758	1	0	-0.39503285358817	0
bin666	1	0	0	0.0102498002589334	0	2	-1.04622874869437	0
bin648	7	252.75247900721	1451	0.195163826181835	0.0476190476190476	1	0.866025403784439	0.612244897959184
bin645	1	0	0	1.27291470282157e-80	0	9	0	0
bin640	1	0	0	0.0192458693701338	0	6	-1.30545982401324	0
bin608	5	47.8861230556883	146	0.0494231133102028	0.2	2	0.697485832462916	0.32
bin607	8	349.589558050645	904	0.271633488482797	0.357142857142857	6	1.06810349237447	0.40625
bin600	2	19.8506063984325	166	0.00798633914896722	0	7	-0.277350098112614	0
bin592	4	162.334126984127	298	0.0271545208033763	0.5	6	-0.356034497458156	0.375
bin583	2	1	1	7.16587272662706e-66	0	8	0	0
bin577	6	18.6401919819311	139	0.223197680293154	0.666666666666667	6	1.06810349237447	0
bin574	2	114	251	0.00022895221470134	0	5	0.447213595499958	0
bin565	3	152.083333333333	460	0.00882930112693109	0	0	-0.39503285358817	0.444444444444444
bin561	4	119.510664335664	348	0.125804401177659	0.166666666666667	6	-0.356034497458156	0.375
bin541	3	54.2262405468927	244	0.0215520509452892	0	3	0.442718872423573	0
bin529	1	0	0	0.00838300849705103	0	0	-1.01579876636958	0
bin513	1	0	0	3.58293636331353e-66	0	8	0	0
bin512	6	485.24684713553	1383	0.0787424066132274	0	2	0.697485832462916	0.5
bin511	3	0	0	0.112149783354595	1	6	-0.356034497458156	0
bin505	6	229.313657036343	998	0.194384601119119	0.266666666666667	1	0.288675134594813	0.666666666666667
bin503	4	244.169130436202	840	0.0690867212978662	0	4	0	0.5
bin498	16	1348.53193350412	5711	0.346245850847807	0.0583333333333333	1	2.59807621135332	0.71875
bin497	1	0	0	0.00934220130046491	0	3	-1.20166551086398	0
bin494	7	903.933261183261	2127	0.0566382910699524	0.19047619047619	6	1.06810349237447	0.244897959183674
bin492	1	0	0	0.0440699617851632	0	2	-1.04622874869437	0
bin472	2	15.7428571428571	47	0.00282527024160769	0	4	0	0
bin471	8	297.510384977342	779	0.0324381289136629	0.214285714285714	0	3.32956262310029	0
bin470	1	0	0	0.00188702207337937	0	2	-1.04622874869437	0
bin464	3	48.3794314381271	93	0.00469814652661794	0	0	0.22573305919324	0
bin452	6	225.308080240305	1032	0.146673947284049	0	4	0	0.777777777777778
bin450	1	0	0	0.0224385443021563	0	4	-0.784464540552736	0
bin444	1	0	0	0.010179814315451	0	0	-1.01579876636958	0
bin425	1	0	0	0.00330240749588146	0	3	-1.20166551086398	0
bin421	1	0	0	0.00135072838872421	0	0	-1.01579876636958	0
bin409	2	108.680952380952	179	0.0105638544342693	0	4	-0.784464540552736	0.5
bin384	4	69.8868710147482	323	0.0763429049623057	0.333333333333333	2	0.697485832462916	0
bin379	2	114	258	0.0123348900134953	0	2	-0.464990554975277	0
bin371	2	22.0982128982129	148	0.0514123547729066	0	1	-0.866025403784439	0.5
bin345	12	1349.03965676977	5733	0.267021893059917	0.0303030303030303	2	0.697485832462916	0.777777777777778
bin343	1	0	0	0.0186132773750453	0	1	-0.866025403784439	0
bin342	1	0	0	0.00496246542985399	0	0	-1.01579876636958	0
bin335	1	0	0	0.00014416220807472	0	4	-0.784464540552736	0
bin318	6	445.294667709387	1186	0.0788363389844698	0.0666666666666667	0	0.846498971974651	0.5
bin311	2	47.0151309474839	233	0.0588774946193255	0	0	-1.01579876636958	0.5
bin310	5	351.951072712454	1277	0.0547971797761873	0	0	0.22573305919324	0.56
bin308	8	414.142234176736	1501	0.243214982484621	0.214285714285714	6	0.118678165819385	0.59375
bin307	4	19.0351814851815	66	0.0176183383247905	0.666666666666667	0	0.846498971974651	0
bin303	4	363.102629375455	780	0.0218438018306414	0	3	0.442718872423573	0.375
bin295	4	154.91015063368	802	0.0152652019255486	0	7	1.66410058867569	0
bin288	6	345.093419666438	902	0.0316148682477233	0.2	0	0.846498971974651	0.5
bin280	1	0	0	3.50256777580468e-05	0	5	-0.894427190999916	0
bin261	4	163.052771780649	430	0.0367468018259401	0	0	0.22573305919324	0.375
bin254	8	960.422173826457	2275	0.0374378388868707	0	4	3.13785816221094	0.40625
bin248	6	480.380366312431	1567	0.051665584198575	0.0666666666666667	3	1.26491106406735	0.5
bin247	8	513.253934292476	2188	0.121669339501539	0	1	1.44337567297406	0.5625
bin239	6	168.086364015354	959	0.257417313291014	0.533333333333333	6	0.118678165819385	0.5
bin220	4	359.610714285714	1661	0.0928519615554705	0.166666666666667	1	0.866025403784439	0
bin210	2	32.2406149079679	162	0.0245212228157816	0	1	-0.866025403784439	0.5
bin201	1	0	0	0.0372076313579232	0	6	-1.30545982401324	0
bin196	6	460.526871533553	1224	0.0281464935613103	0	3	1.26491106406735	0.5
bin195	2	0	0	0.0901771805365125	1	1	-0.866025403784439	0.5
bin182	2	46.5392708598591	216	0.0650157578742891	0	2	-1.04622874869437	0.5
bin177	2	34.089121989122	124	0.0605304196554957	0	2	-1.04622874869437	0.5
bin176	2	0	0	0.0673957312106423	1	1	-0.288675134594813	0
bin174	1	0	0	0.0105643997848854	0	2	-1.04622874869437	0
bin173	1	0	0	0.00227978432545996	0	1	-0.866025403784439	0
bin172	4	119.036974789916	310	0.0688506448985183	0.333333333333333	2	0.697485832462916	0
bin168	1	0	0	0.00233530845796295	0	7	-1.24807544150677	0
bin165	1	0	0	0.00014416220807472	0	4	-0.784464540552736	0
bin164	3	0	0	0.0215183283897743	1	6	-0.356034497458156	0
bin163	5	259.567382617383	869	0.0766660046231769	0	4	0.784464540552736	0.56
