Genome,ID
Barebin100,bin770
Barebin101,bin769
Barebin103,bin768
Barebin104,bin767
Barebin105,bin766
Barebin106,bin765
Barebin107,bin764
Barebin108,bin763
Barebin109,bin762
Barebin10,bin761
Barebin110,bin760
Barebin111,bin759
Barebin114,bin758
Barebin116,bin757
Barebin117,bin756
Barebin118,bin755
Barebin11,bin754
Barebin122,bin753
Barebin123,bin752
Barebin125,bin751
Barebin128,bin750
Barebin129,bin749
Barebin12,bin748
Barebin130,bin747
Barebin132,bin746
Barebin133,bin745
Barebin134,bin744
Barebin135,bin743
Barebin136,bin742
Barebin137,bin741
Barebin139,bin740
Barebin13,bin739
Barebin140,bin738
Barebin141,bin737
Barebin142,bin736
Barebin143,bin735
Barebin145,bin734
Barebin146,bin733
Barebin147,bin732
Barebin148,bin731
Barebin149,bin730
Barebin150,bin729
Barebin151,bin728
Barebin153,bin727
Barebin155,bin726
Barebin156,bin725
Barebin157,bin724
Barebin158,bin723
Barebin159,bin722
Barebin160,bin721
Barebin162,bin720
Barebin163,bin719
Barebin166,bin718
Barebin167,bin717
Barebin168,bin716
Barebin16,bin715
Barebin170,bin714
Barebin171,bin713
Barebin172,bin712
Barebin173,bin711
Barebin175,bin710
Barebin176,bin709
Barebin177,bin708
Barebin179,bin707
Barebin181,bin706
Barebin182,bin705
Barebin183,bin704
Barebin184,bin703
Barebin185,bin702
Barebin187,bin701
Barebin188,bin700
Barebin189,bin699
Barebin18,bin698
Barebin190,bin697
Barebin192,bin696
Barebin194,bin695
Barebin195,bin694
Barebin198,bin693
Barebin199,bin692
Barebin1,bin691
Barebin202,bin690
Barebin205,bin689
Barebin206,bin688
Barebin207,bin687
Barebin20,bin686
Barebin211,bin685
Barebin213,bin684
Barebin216,bin683
Barebin219,bin682
Barebin220,bin681
Barebin223,bin680
Barebin225,bin679
Barebin226,bin678
Barebin229,bin677
Barebin22,bin676
Barebin230,bin675
Barebin232,bin674
Barebin233,bin673
Barebin234,bin672
Barebin236,bin671
Barebin238,bin670
Barebin239,bin669
Barebin23,bin668
Barebin240,bin667
Barebin244,bin666
Barebin246,bin665
Barebin247,bin664
Barebin250,bin663
Barebin252,bin662
Barebin255,bin661
Barebin256,bin660
Barebin257,bin659
Barebin258,bin658
Barebin260,bin657
Barebin265,bin656
Barebin266,bin655
Barebin268,bin654
Barebin269,bin653
Barebin26,bin652
Barebin270,bin651
Barebin273,bin650
Barebin274,bin649
Barebin275,bin648
Barebin276,bin647
Barebin278,bin646
Barebin279,bin645
Barebin27,bin644
Barebin280,bin643
Barebin281,bin642
Barebin284,bin641
Barebin285,bin640
Barebin286,bin639
Barebin287,bin638
Barebin288,bin637
Barebin289,bin636
Barebin28,bin635
Barebin290,bin634
Barebin294,bin633
Barebin297,bin632
Barebin299,bin631
Barebin29,bin630
Barebin2,bin629
Barebin300,bin628
Barebin301,bin627
Barebin302,bin626
Barebin303,bin625
Barebin304,bin624
Barebin305,bin623
Barebin308,bin622
Barebin309,bin621
Barebin30,bin620
Barebin310,bin619
Barebin312,bin618
Barebin313,bin617
Barebin314,bin616
Barebin315,bin615
Barebin316,bin614
Barebin317,bin613
Barebin318,bin612
Barebin319,bin611
Barebin31,bin610
Barebin320,bin609
Barebin321,bin608
Barebin322,bin607
Barebin324,bin606
Barebin325,bin605
Barebin326,bin604
Barebin327,bin603
Barebin328,bin602
Barebin32,bin601
Barebin330,bin600
Barebin332,bin599
Barebin333,bin598
Barebin334,bin597
Barebin337,bin596
Barebin338,bin595
Barebin33,bin594
Barebin340,bin593
Barebin341,bin592
Barebin342,bin591
Barebin345,bin590
Barebin346,bin589
Barebin348,bin588
Barebin349,bin587
Barebin351,bin586
Barebin352,bin585
Barebin355,bin584
Barebin358,bin583
Barebin359,bin582
Barebin35,bin581
Barebin361,bin580
Barebin362,bin579
Barebin363,bin578
Barebin364,bin577
Barebin367,bin576
Barebin369,bin575
Barebin370,bin574
Barebin371,bin573
Barebin372,bin572
Barebin373,bin571
Barebin375,bin570
Barebin376,bin569
Barebin377,bin568
Barebin378,bin567
Barebin379,bin566
Barebin37,bin565
Barebin381,bin564
Barebin382,bin563
Barebin383,bin562
Barebin385,bin561
Barebin389,bin560
Barebin38,bin559
Barebin394,bin558
Barebin396,bin557
Barebin397,bin556
Barebin398,bin555
Barebin39,bin554
Barebin3,bin553
Barebin402,bin552
Barebin403,bin551
Barebin404,bin550
Barebin405,bin549
Barebin410,bin548
Barebin413,bin547
Barebin414,bin546
Barebin415,bin545
Barebin416,bin544
Barebin418,bin543
Barebin41,bin542
Barebin422,bin541
Barebin424,bin540
Barebin425,bin539
Barebin427,bin538
Barebin428,bin537
Barebin429,bin536
Barebin42,bin535
Barebin430,bin534
Barebin431,bin533
Barebin432,bin532
Barebin434,bin531
Barebin435,bin530
Barebin436,bin529
Barebin437,bin528
Barebin438,bin527
Barebin43,bin526
Barebin440,bin525
Barebin441,bin524
Barebin442,bin523
Barebin443,bin522
Barebin444,bin521
Barebin445,bin520
Barebin446,bin519
Barebin452,bin518
Barebin453,bin517
Barebin455,bin516
Barebin456,bin515
Barebin45,bin514
Barebin46,bin513
Barebin47,bin512
Barebin48,bin511
Barebin49,bin510
Barebin4,bin509
Barebin50,bin508
Barebin51,bin507
Barebin52,bin506
Barebin53,bin505
Barebin55,bin504
Barebin56,bin503
Barebin57,bin502
Barebin59,bin501
Barebin5,bin500
Barebin60,bin499
Barebin62,bin498
Barebin63,bin497
Barebin65,bin496
Barebin66,bin495
Barebin67,bin494
Barebin70,bin493
Barebin71,bin492
Barebin72,bin491
Barebin73,bin490
Barebin75,bin489
Barebin76,bin488
Barebin79,bin487
Barebin7,bin486
Barebin81,bin485
Barebin82,bin484
Barebin84,bin483
Barebin86,bin482
Barebin89,bin481
Barebin8,bin480
Barebin91,bin479
Barebin94,bin478
Barebin95,bin477
Barebin97,bin476
Barebin98,bin475
Barebin99,bin474
Barebin9,bin473
Crustbin100,bin472
Crustbin103,bin471
Crustbin104,bin470
Crustbin107,bin469
Crustbin10,bin468
Crustbin110,bin467
Crustbin111,bin466
Crustbin113,bin465
Crustbin114,bin464
Crustbin115,bin463
Crustbin116,bin462
Crustbin119,bin461
Crustbin11,bin460
Crustbin120,bin459
Crustbin121,bin458
Crustbin123,bin457
Crustbin125,bin456
Crustbin126,bin455
Crustbin127,bin454
Crustbin129,bin453
Crustbin131,bin452
Crustbin132,bin451
Crustbin135,bin450
Crustbin137,bin449
Crustbin138,bin448
Crustbin139,bin447
Crustbin141,bin446
Crustbin142,bin445
Crustbin143,bin444
Crustbin144,bin443
Crustbin145,bin442
Crustbin147,bin441
Crustbin148,bin440
Crustbin151,bin439
Crustbin154,bin438
Crustbin155,bin437
Crustbin158,bin436
Crustbin159,bin435
Crustbin15,bin434
Crustbin164,bin433
Crustbin166,bin432
Crustbin167,bin431
Crustbin169,bin430
Crustbin16,bin429
Crustbin170,bin428
Crustbin171,bin427
Crustbin172,bin426
Crustbin173,bin425
Crustbin174,bin424
Crustbin175,bin423
Crustbin177,bin422
Crustbin178,bin421
Crustbin179,bin420
Crustbin17,bin419
Crustbin180,bin418
Crustbin183,bin417
Crustbin184,bin416
Crustbin185,bin415
Crustbin186,bin414
Crustbin188,bin413
Crustbin189,bin412
Crustbin18,bin411
Crustbin190,bin410
Crustbin191,bin409
Crustbin192,bin408
Crustbin195,bin407
Crustbin196,bin406
Crustbin198,bin405
Crustbin199,bin404
Crustbin1,bin403
Crustbin200,bin402
Crustbin201,bin401
Crustbin202,bin400
Crustbin203,bin399
Crustbin204,bin398
Crustbin205,bin397
Crustbin207,bin396
Crustbin209,bin395
Crustbin20,bin394
Crustbin211,bin393
Crustbin213,bin392
Crustbin214,bin391
Crustbin215,bin390
Crustbin216,bin389
Crustbin217,bin388
Crustbin219,bin387
Crustbin21,bin386
Crustbin220,bin385
Crustbin221,bin384
Crustbin222,bin383
Crustbin223,bin382
Crustbin224,bin381
Crustbin227,bin380
Crustbin229,bin379
Crustbin230,bin378
Crustbin231,bin377
Crustbin232,bin376
Crustbin235,bin375
Crustbin236,bin374
Crustbin23,bin373
Crustbin240,bin372
Crustbin241,bin371
Crustbin242,bin370
Crustbin244,bin369
Crustbin245,bin368
Crustbin246,bin367
Crustbin24,bin366
Crustbin250,bin365
Crustbin252,bin364
Crustbin254,bin363
Crustbin255,bin362
Crustbin256,bin361
Crustbin257,bin360
Crustbin258,bin359
Crustbin25,bin358
Crustbin260,bin357
Crustbin261,bin356
Crustbin262,bin355
Crustbin263,bin354
Crustbin266,bin353
Crustbin267,bin352
Crustbin26,bin351
Crustbin270,bin350
Crustbin271,bin349
Crustbin272,bin348
Crustbin273,bin347
Crustbin274,bin346
Crustbin276,bin345
Crustbin277,bin344
Crustbin279,bin343
Crustbin27,bin342
Crustbin280,bin341
Crustbin281,bin340
Crustbin283,bin339
Crustbin284,bin338
Crustbin285,bin337
Crustbin286,bin336
Crustbin288,bin335
Crustbin289,bin334
Crustbin28,bin333
Crustbin292,bin332
Crustbin293,bin331
Crustbin294,bin330
Crustbin295,bin329
Crustbin296,bin328
Crustbin297,bin327
Crustbin299,bin326
Crustbin29,bin325
Crustbin2,bin324
Crustbin300,bin323
Crustbin301,bin322
Crustbin302,bin321
Crustbin303,bin320
Crustbin304,bin319
Crustbin305,bin318
Crustbin306,bin317
Crustbin307,bin316
Crustbin308,bin315
Crustbin30,bin314
Crustbin311,bin313
Crustbin312,bin312
Crustbin314,bin311
Crustbin316,bin310
Crustbin317,bin309
Crustbin318,bin308
Crustbin319,bin307
Crustbin31,bin306
Crustbin320,bin305
Crustbin321,bin304
Crustbin325,bin303
Crustbin326,bin302
Crustbin327,bin301
Crustbin328,bin300
Crustbin329,bin299
Crustbin32,bin298
Crustbin330,bin297
Crustbin331,bin296
Crustbin335,bin295
Crustbin337,bin294
Crustbin338,bin293
Crustbin33,bin292
Crustbin342,bin291
Crustbin344,bin290
Crustbin346,bin289
Crustbin34,bin288
Crustbin350,bin287
Crustbin351,bin286
Crustbin352,bin285
Crustbin357,bin284
Crustbin359,bin283
Crustbin35,bin282
Crustbin361,bin281
Crustbin362,bin280
Crustbin364,bin279
Crustbin367,bin278
Crustbin368,bin277
Crustbin36,bin276
Crustbin373,bin275
Crustbin375,bin274
Crustbin376,bin273
Crustbin379,bin272
Crustbin37,bin271
Crustbin381,bin270
Crustbin382,bin269
Crustbin385,bin268
Crustbin386,bin267
Crustbin388,bin266
Crustbin389,bin265
Crustbin38,bin264
Crustbin391,bin263
Crustbin394,bin262
Crustbin395,bin261
Crustbin398,bin260
Crustbin3,bin259
Crustbin400,bin258
Crustbin402,bin257
Crustbin403,bin256
Crustbin404,bin255
Crustbin405,bin254
Crustbin407,bin253
Crustbin409,bin252
Crustbin40,bin251
Crustbin410,bin250
Crustbin412,bin249
Crustbin413,bin248
Crustbin414,bin247
Crustbin416,bin246
Crustbin419,bin245
Crustbin41,bin244
Crustbin421,bin243
Crustbin422,bin242
Crustbin423,bin241
Crustbin424,bin240
Crustbin425,bin239
Crustbin426,bin238
Crustbin427,bin237
Crustbin429,bin236
Crustbin42,bin235
Crustbin431,bin234
Crustbin432,bin233
Crustbin434,bin232
Crustbin435,bin231
Crustbin436,bin230
Crustbin438,bin229
Crustbin439,bin228
Crustbin440,bin227
Crustbin441,bin226
Crustbin443,bin225
Crustbin444,bin224
Crustbin445,bin223
Crustbin446,bin222
Crustbin447,bin221
Crustbin449,bin220
Crustbin44,bin219
Crustbin450,bin218
Crustbin452,bin217
Crustbin456,bin216
Crustbin458,bin215
Crustbin462,bin214
Crustbin463,bin213
Crustbin46,bin212
Crustbin47,bin211
Crustbin49,bin210
Crustbin4,bin209
Crustbin51,bin208
Crustbin52,bin207
Crustbin55,bin206
Crustbin57,bin205
Crustbin59,bin204
Crustbin5,bin203
Crustbin60,bin202
Crustbin61,bin201
Crustbin62,bin200
Crustbin63,bin199
Crustbin64,bin198
Crustbin66,bin197
Crustbin69,bin196
Crustbin70,bin195
Crustbin72,bin194
Crustbin73,bin193
Crustbin74,bin192
Crustbin75,bin191
Crustbin76,bin190
Crustbin77,bin189
Crustbin78,bin188
Crustbin85,bin187
Crustbin87,bin186
Crustbin89,bin185
Crustbin90,bin184
Crustbin91,bin183
Crustbin92,bin182
Crustbin94,bin181
Crustbin98,bin180
Crustbin9,bin179
Mossbin100,bin178
Mossbin101,bin177
Mossbin108,bin176
Mossbin109,bin175
Mossbin10,bin174
Mossbin114,bin173
Mossbin116,bin172
Mossbin117,bin171
Mossbin118,bin170
Mossbin119,bin169
Mossbin121,bin168
Mossbin124,bin167
Mossbin126,bin166
Mossbin127,bin165
Mossbin129,bin164
Mossbin130,bin163
Mossbin131,bin162
Mossbin136,bin161
Mossbin137,bin160
Mossbin138,bin159
Mossbin140,bin158
Mossbin142,bin157
Mossbin144,bin156
Mossbin148,bin155
Mossbin149,bin154
Mossbin152,bin153
Mossbin154,bin152
Mossbin156,bin151
Mossbin157,bin150
Mossbin158,bin149
Mossbin15,bin148
Mossbin161,bin147
Mossbin164,bin146
Mossbin165,bin145
Mossbin166,bin144
Mossbin169,bin143
Mossbin16,bin142
Mossbin170,bin141
Mossbin175,bin140
Mossbin176,bin139
Mossbin178,bin138
Mossbin179,bin137
Mossbin180,bin136
Mossbin181,bin135
Mossbin182,bin134
Mossbin184,bin133
Mossbin187,bin132
Mossbin193,bin131
Mossbin194,bin130
Mossbin195,bin129
Mossbin196,bin128
Mossbin197,bin127
Mossbin19,bin126
Mossbin1,bin125
Mossbin202,bin124
Mossbin203,bin123
Mossbin206,bin122
Mossbin207,bin121
Mossbin210,bin120
Mossbin212,bin119
Mossbin217,bin118
Mossbin21,bin117
Mossbin223,bin116
Mossbin224,bin115
Mossbin225,bin114
Mossbin226,bin113
Mossbin22,bin112
Mossbin230,bin111
Mossbin231,bin110
Mossbin232,bin109
Mossbin233,bin108
Mossbin234,bin107
Mossbin235,bin106
Mossbin238,bin105
Mossbin23,bin104
Mossbin240,bin103
Mossbin241,bin102
Mossbin242,bin101
Mossbin243,bin100
Mossbin246,bin99
Mossbin248,bin98
Mossbin249,bin97
Mossbin250,bin96
Mossbin255,bin95
Mossbin256,bin94
Mossbin258,bin93
Mossbin259,bin92
Mossbin261,bin91
Mossbin266,bin90
Mossbin268,bin89
Mossbin26,bin88
Mossbin270,bin87
Mossbin271,bin86
Mossbin272,bin85
Mossbin273,bin84
Mossbin274,bin83
Mossbin275,bin82
Mossbin279,bin81
Mossbin284,bin80
Mossbin285,bin79
Mossbin286,bin78
Mossbin287,bin77
Mossbin288,bin76
Mossbin289,bin75
Mossbin28,bin74
Mossbin291,bin73
Mossbin296,bin72
Mossbin2,bin71
Mossbin300,bin70
Mossbin301,bin69
Mossbin302,bin68
Mossbin303,bin67
Mossbin305,bin66
Mossbin308,bin65
Mossbin309,bin64
Mossbin310,bin63
Mossbin312,bin62
Mossbin316,bin61
Mossbin317,bin60
Mossbin31,bin59
Mossbin320,bin58
Mossbin327,bin57
Mossbin329,bin56
Mossbin32,bin55
Mossbin330,bin54
Mossbin331,bin53
Mossbin332,bin52
Mossbin333,bin51
Mossbin334,bin50
Mossbin336,bin49
Mossbin338,bin48
Mossbin339,bin47
Mossbin340,bin46
Mossbin343,bin45
Mossbin344,bin44
Mossbin345,bin43
Mossbin347,bin42
Mossbin34,bin41
Mossbin35,bin40
Mossbin37,bin39
Mossbin38,bin38
Mossbin3,bin37
Mossbin42,bin36
Mossbin45,bin35
Mossbin46,bin34
Mossbin47,bin33
Mossbin4,bin32
Mossbin52,bin31
Mossbin53,bin30
Mossbin55,bin29
Mossbin56,bin28
Mossbin57,bin27
Mossbin58,bin26
Mossbin5,bin25
Mossbin60,bin24
Mossbin62,bin23
Mossbin67,bin22
Mossbin68,bin21
Mossbin6,bin20
Mossbin71,bin19
Mossbin72,bin18
Mossbin73,bin17
Mossbin74,bin16
Mossbin75,bin15
Mossbin7,bin14
Mossbin81,bin13
Mossbin82,bin12
Mossbin84,bin11
Mossbin85,bin10
Mossbin86,bin9
Mossbin87,bin8
Mossbin8,bin7
Mossbin93,bin6
Mossbin94,bin5
Mossbin96,bin4
Mossbin97,bin3
Mossbin98,bin2
Mossbin99,bin1
