Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
Bare_bin.102	100.0	2.81	Gradient Boost (General Model)	11	0.949	49709	362.31995012468826	4584410	0.68	4010	164	175517	None
Bare_bin.107	79.96	3.39	Gradient Boost (General Model)	11	0.853	5913	301.163011054571	6029890	0.74	5699	1207	54163	None
Bare_bin.108	86.64	0.95	Neural Network (Specific Model)	11	0.927	23729	300.8439114391144	2634135	0.68	2710	158	93161	None
Bare_bin.110	69.77	3.77	Gradient Boost (General Model)	11	0.885	6904	303.8255936675462	3898914	0.62	3790	711	27205	None
Bare_bin.113	71.88	1.24	Gradient Boost (General Model)	11	0.936	4706	259.98244636388966	2981417	0.75	3589	708	35661	None
Bare_bin.119	82.3	5.3	Gradient Boost (General Model)	11	0.926	20201	291.0782918149466	2906644	0.76	3091	202	49752	None
Bare_bin.122	80.18	0.3	Neural Network (Specific Model)	11	0.894	4900	284.30735721200386	1966107	0.4	2066	466	24244	None
Bare_bin.123	99.64	1.57	Gradient Boost (General Model)	11	0.907	173364	331.85915032679736	6705831	0.57	6120	67	521395	None
Bare_bin.130	99.76	1.55	Gradient Boost (General Model)	11	0.898	50374	362.35245304993447	8307414	0.68	6869	259	150911	None
Bare_bin.139	100.0	0.01	Gradient Boost (General Model)	11	0.918	212578	357.9117836445589	3627815	0.52	3106	42	539994	None
Bare_bin.142	81.49	0.27	Gradient Boost (General Model)	11	0.917	10208	255.1624649859944	594314	0.51	714	83	25390	None
Bare_bin.171	94.72	0.5	Gradient Boost (General Model)	11	0.916	32539	297.0008830022075	2197215	0.53	2265	97	132493	None
Bare_bin.173	62.45	1.91	Gradient Boost (General Model)	11	0.883	3409	246.9511655948553	4164362	0.74	4976	1339	22835	None
Bare_bin.179	69.29	0.1	Neural Network (Specific Model)	11	0.924	11403	287.46247563352824	1909825	0.65	2052	218	43365	None
Bare_bin.18	74.39	1.82	Neural Network (Specific Model)	11	0.914	5924	272.00452023833986	4334921	0.75	4867	832	21862	None
Bare_bin.182	98.44	0.38	Gradient Boost (General Model)	11	0.899	57682	366.24322458139136	7071822	0.52	5793	209	249376	None
Bare_bin.183	95.08	0.71	Gradient Boost (General Model)	11	0.917	43697	364.1879652605459	5754860	0.57	4836	225	192044	None
Bare_bin.185	70.04	1.48	Gradient Boost (General Model)	11	0.931	4965	276.3322827555155	1972517	0.76	2221	429	20457	None
Bare_bin.191	100.0	5.94	Gradient Boost (General Model)	11	0.914	239469	343.7934873364876	4043664	0.62	3593	31	548781	None
Bare_bin.196	48.88	2.16	Gradient Boost (General Model)	11	0.85	3016	255.54498473103124	3831543	0.65	4257	1340	100541	None
Bare_bin.200	45.62	7.81	Gradient Boost (General Model)	11	0.923	2551	272.41253263707574	3045684	0.6	3447	1306	9085	None
Bare_bin.201	84.08	3.18	Gradient Boost (General Model)	11	0.943	6257	268.1112288135593	1606082	0.71	1888	337	27440	None
Bare_bin.205	87.7	6.52	Gradient Boost (General Model)	11	0.942	24511	315.83035714285717	4041004	0.76	4032	238	97345	None
Bare_bin.206	99.97	0.83	Gradient Boost (General Model)	11	0.939	16050	275.64167393199654	1006507	0.38	1147	90	91972	None
Bare_bin.215	81.98	0.66	Neural Network (Specific Model)	11	0.799	4963	216.95231481481483	1754301	0.42	2160	405	23385	None
Bare_bin.216	70.29	2.01	Gradient Boost (General Model)	11	0.946	5695	282.875350140056	3834716	0.74	4284	783	26335	None
Bare_bin.22	69.88	0.53	Neural Network (Specific Model)	11	0.892	6452	283.86797957695114	3917535	0.77	4113	769	27401	None
Bare_bin.221	63.86	5.53	Gradient Boost (General Model)	11	0.925	2172	221.82893347412883	2038970	0.66	2841	1012	13518	None
Bare_bin.225	95.17	0.03	Gradient Boost (General Model)	11	0.93	22907	327.3616226314385	3947933	0.66	3747	252	90824	None
Bare_bin.229	92.65	0.99	Gradient Boost (General Model)	11	0.847	15646	332.27143099643524	6923551	0.45	5891	640	67877	None
Bare_bin.23	64.49	2.64	Gradient Boost (General Model)	11	0.898	3088	284.0169340463458	4250352	0.56	4488	1533	12540	None
Bare_bin.233	100.0	0.51	Neural Network (Specific Model)	11	0.907	68214	340.7300579630141	4078195	0.7	3623	95	240743	None
Bare_bin.235	64.98	8.75	Gradient Boost (General Model)	11	0.906	1878	209.67016151884386	2443609	0.68	3529	1347	7767	None
Bare_bin.238	84.23	2.17	Gradient Boost (General Model)	11	0.881	7257	290.7064635652532	2400161	0.73	2429	416	28299	None
Bare_bin.248	88.62	2.68	Neural Network (Specific Model)	11	0.894	9346	283.9864806866953	4434080	0.7	4660	602	59203	None
Bare_bin.249	70.65	0.71	Neural Network (Specific Model)	11	0.918	5266	270.33529628266473	2395027	0.69	2717	532	24878	None
