Sample_name,SampleID,Sample,Metabolite_Diversity,water_content,sample_id,MossCoverage,Biocrust_Coverage,C_N,OC,TN,pH
S1_1WB,S_1WB,1WB,3.841981195,4.824779937,BS5562_047,0,0,14.80289017,0.76827,0.0519,8.2
S2_1WC,S_1WC,1WC,4.240509209,5.138155852,BS5562_051,10,85,16.47771156,1.38248,0.0839,8.38
S3_1WM,S_1WM,1WM,5.183669857,6.976417743,BS5562_003,10,40,20.01412645,2.89024,0.14441,8.06
S4_2WB,S_2WB,2WB,4.239678886,1.942336874,BS5562_005,0,0,14.63303475,1.48657,0.10159,8.5
S5_2WC,S_2WC,2WC,4.304420013,5.347674595,BS5562_048,0,80,21.64512244,1.61754,0.07473,8.22
S7_3WB,S_3WB,3WB,4.07077774,3.067257945,BS5562_049,0,15,21.65571984,1.39138,0.06425,8.33
S8_3WC,S_3WC,3WC,4.865899049,7.681525091,BS5562_058,10,85,14.84057027,2.05067,0.13818,8.27
S9_3WM,S_3WM,3WM,5.101258182,12.84784378,BS5562_050,50,45,22.80626973,4.04492,0.17736,8.23
S10_4WB,S_4WB,4WB,3.841760978,5.271151613,BS5562_053,0,15,16.31248381,1.25965,0.07722,8.4
S11_4WC,S_4WC,4WC,5.11103046,8.260431989,BS5562_057,10,90,21.58821297,3.98173,0.18444,8.33
S12_4WM,S_4WM,4WM,5.257201079,-20.0673332,BS5562_056,0,60,17.46932819,3.71066,0.21241,8.03
S13_5WB,S_5WB,5WB,3.683368165,5.683309164,BS5562_055,10,0,24.57283198,0.72539,0.02952,8.3
S14_5WC,S_5WC,5WC,4.130009391,8.130623126,BS5562_046,0,50,17.67929853,0.87707,0.04961,8.66
S15_5WM,S_5WM,5WM,4.792583747,12.04466692,BS5562_043,90,10,22.32325691,2.84309,0.12736,8.7
S16_6WB,S_6WB,6WB,3.931197824,7.080307561,BS5562_045,0,0,10.70878775,1.02119,0.09536,8.6
S17_6WC,S_6WC,6WC,4.482474182,2.942442945,BS5562_006,0,70,14.332211,1.4047,0.09801,8.67
S18_6WM,S_6WM,6WM,5.102563468,10.77569363,BS5562_004,90,20,29.49071125,3.33363,0.11304,8.35
S19_1CB,S_1CB,1CB,3.18943705,4.901156965,BS5562_016,0,0,17.37452552,0.41195,0.02371,8.55
S20_1CC,S_1CC,1CC,3.824435857,5.280046674,BS5562_010,0,65,42.81602855,1.31959,0.03082,8.57
S21_1CM,S_1CM,1CM,4.763474764,6.927144009,BS5562_011,10,10,24.77256944,1.71228,0.06912,8.5
S22_2CB,S_2CB,2CB,3.480958199,1.546063118,BS5562_009,0,0,21.12903226,0.38645,0.01829,8.75
S23_2CC,S_2CC,2CC,4.593204265,7.652859961,BS5562_008,10,90,21.80979735,2.73364,0.12534,8.62
S24_2CM,S_2CM,2CM,4.821764815,7.696428571,BS5562_007,50,40,19.1601587,0.91758,0.04789,8.6
S25_3CB,S_3CB,3CB,3.308417363,2.00845666,BS5562_040,0,0,26.23900879,0.6565,0.02502,8.75
