"","S_1WB","S_1WC","S_1WM","S_2WB","S_2WC","S_2WM","S_3WB","S_3WC","S_3WM","S_4WB","S_4WC","S_4WM","S_5WB","S_5WC","S_5WM","S_6WB","S_6WC","S_6WM"
"S_1WB",NA,2.55770032708214,1.90129311444209,5.45744469733889,2.71700548478632,-0.21402971863436,3.81760813754217,2.33247591351978,2.84069211782693,2.43689264310782,1.40381191961896,2.53761741127418,2.32015967199046,4.27948694823209,-0.155789636763423,3.71835959504844,2.43726898233306,0.943729883867491
"S_1WC",2.55770032708214,NA,-0.00497809645184436,3.75527425665165,3.25165559342651,-1.28278683379985,2.85726750543548,0.989427889005055,1.500439295145,3.78330764927704,2.43058195092635,0.527856434051904,2.26701659334925,4.78793578952799,-0.214688224515917,2.72265341262334,3.8034692470655,-0.133973116808247
"S_1WM",1.90129311444209,-0.00497809645184436,NA,-0.155861465832778,-1.51352824644221,-2.22023595122426,1.38700088267722,-2.38578214805811,-1.88344235494106,3.30515441698876,-1.54507190639182,-3.18785102190383,2.03192321012681,-1.10085079418248,-2.18724508821939,2.45504940688171,-1.29673159830755,-2.3452767313844
"S_2WB",5.45744469733889,3.75527425665165,-0.155861465832778,NA,2.85943470975724,-1.25026701523169,1.49428325314241,1.48349348333029,0.988265344684004,4.60997902836155,1.92158754675209,1.91239293460039,3.16354163274029,3.33919497937676,0.0104766599006666,2.04920510174566,1.66060785392707,0.358741893619364
"S_2WC",2.71700548478632,3.25165559342651,-1.51352824644221,2.85943470975724,NA,-2.79228832836749,2.26654824338027,-0.203768484838605,0.848041378364937,2.21794666977866,-0.244368086805577,0.668609566628158,2.73467469663835,1.2648828347887,-2.66702282052489,1.22862703929007,0.128554697697213,-0.0280407398773103
"S_2WM",-0.21402971863436,-1.28278683379985,-2.22023595122426,-1.25026701523169,-2.79228832836749,NA,-0.523326057447657,-4.94805592782855,-6.54080479993624,1.66225687133932,-3.03952838381496,-4.80386077546292,0.348668911968417,-2.88250666686587,-4.47964014156213,0.381681665873289,-5.39754038794107,-5.26674669734867
"S_3WB",3.81760813754217,2.85726750543548,1.38700088267722,1.49428325314241,2.26654824338027,-0.523326057447657,NA,2.25227360618642,1.22247422719483,3.65833002565535,1.40094834545517,2.7263872848538,2.29337274801794,1.73066971499724,0.320942502655184,1.34156673032314,1.66136195850798,1.8348532030538
"S_3WC",2.33247591351978,0.989427889005055,-2.38578214805811,1.48349348333029,-0.203768484838605,-4.94805592782855,2.25227360618642,NA,-3.06949081427494,0.849167794633798,-2.06440882810295,-2.3292635733491,2.26654425460878,-0.584990149778198,-4.56391196182233,2.38233445130496,-2.86490819040841,-2.29023136860616
"S_3WM",2.84069211782693,1.500439295145,-1.88344235494106,0.988265344684004,0.848041378364937,-6.54080479993624,1.22247422719483,-3.06949081427494,NA,1.1006816483627,-2.08275918514276,-2.25010264752243,1.93517890798854,-0.597173783268776,-6.0215610688239,1.78227442900045,-3.63853111824637,-3.75228713936112
"S_4WB",2.43689264310782,3.78330764927704,3.30515441698876,4.60997902836155,2.21794666977866,1.66225687133932,3.65833002565535,0.849167794633798,1.1006816483627,NA,4.54969998757852,0.734914273006107,1.39012556366781,3.92810923312701,2.20154687116277,3.98754753494766,2.83622456012226,0.387538749983378
"S_4WC",1.40381191961896,2.43058195092635,-1.54507190639182,1.92158754675209,-0.244368086805577,-3.03952838381496,1.40094834545517,-2.06440882810295,-2.08275918514276,4.54969998757852,NA,-2.52052671722683,2.96883316631071,1.1764117388546,-2.53834062194746,1.51387860717902,1.33679200953376,-2.04468830938575
"S_4WM",2.53761741127418,0.527856434051904,-3.18785102190383,1.91239293460039,0.668609566628158,-4.80386077546292,2.7263872848538,-2.3292635733491,-2.25010264752243,0.734914273006107,-2.52052671722683,NA,1.99691178002431,0.0844681928072248,-5.23419591943809,1.62577175744721,-3.6388588849757,-3.04869573664781
